,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber,Etching_rate
496,dry,1077.751749,32.59,0.189,87,689.049,1.09607,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988,54.613,436,525.22,107.543,70.61,51.473,1.048,1.74e+16,2.39e+16,1.38e+17,2.99e+17,6e+17,31691.366,105.291,891.0,156,0,21333,166.68725
497,wet,1113.712029,38.02,0.218,80,708.738,2.19916,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001,31.272,436,488.636,111.101,71.067,51.129,1.043,1.37e+16,8.91e+16,1.38e+17,3e+17,6e+17,31201.151,105.485,906.0,153,1,22133,163.13450000000003
498,dry,1193.96599,33.81,0.202,149,716.118,0.62819,15.182,15.034,19.994,199.034,90.0,501.61,3985.686,5137.647,5.013,91.66,30.0,23.663,405,478.444,107.19,69.934,51.099,1.023,1.38e+16,1.22e+17,1.38e+17,3.03e+17,6e+17,31655.39,104.646,898.0,151,0,22222,168.6295
499,dry,1098.177968,29.05,0.216,149,703.595,1.01327,18.211,15.006,20.001,197.707,90.0,503.158,4047.541,4947.636,5.028,94.355,29.997,27.333,436,516.803,110.24,72.593,50.252,1.024,1.26e+16,1.11e+17,1.38e+17,3.03e+17,6e+17,30953.889,104.291,897.0,152,0,22311,166.77375
500,dry,1013.703486,49.91,0.209,101,721.105,0.82107,15.836,14.925,19.993,194.126,90.0,501.085,3955.393,4983.697,5.032,92.48,30.003,16.467,405,529.182,109.976,71.754,52.645,1.038,7250000000000000.0,9.58e+16,2.29e+17,3.01e+17,6e+17,31211.391,102.585,899.0,151,0,23111,166.37625
501,dry,1102.425583,32.47,0.203,112,703.686,2.17388,15.931,15.1,20.004,199.703,90.0,503.226,4062.804,4931.418,5.053,94.036,30.003,43.554,405,472.687,110.358,71.441,51.015,1.027,9520000000000000.0,4.84e+16,1.38e+17,2.99e+17,6e+17,31603.462,106.007,910.0,156,0,23222,164.74650000000003
502,dry,1100.646875,32.82,0.205,101,702.403,1.91871,13.723,14.879,19.998,198.575,90.0,499.06,4071.633,5053.274,5.102,93.318,29.996,41.893,365,561.777,107.42,71.163,50.547,1.009,1.29e+16,5.54e+16,1.38e+17,3e+17,6e+17,31197.908,103.454,910.0,155,0,23333,169.40075000000002
503,wet,996.1626408,36.66,0.194,148,707.175,1.70572,13.934,14.899,20.001,198.429,90.0,501.252,3985.677,4979.438,4.925,90.195,30.007,30.437,365,523.658,108.685,70.345,50.843,1.015,8410000000000000.0,1.66e+17,1.38e+17,3e+17,6e+17,31359.595,103.046,894.0,156,0,31133,166.36875
504,wet,1017.293112,35.44,0.203,157,719.64,1.91149,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008,61.431,405,514.519,106.424,69.832,51.609,1.011,1.3e+16,1e+17,1.38e+17,3.02e+17,6e+17,32409.504,106.244,899.0,154,0,31222,174.23499999999999
505,dry,1037.438376,36.74,0.205,147,709.838,2.10876,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012,47.652,405,534.147,109.963,71.606,51.027,1.024,1.23e+16,9.3e+16,2.59e+17,3.03e+17,6e+17,32922.767,104.804,923.0,152,0,31311,172.8345
506,dry,1000.063674,25.53,0.203,56,715.592,1.00451,16.26,14.995,19.999,200.039,90.0,503.25,4029.12,4990.186,4.937,90.313,30.005,28.492,365,499.558,109.557,71.068,50.653,1.029,1.42e+16,1.87e+16,2.19e+17,3.01e+17,6e+17,30786.77,101.334,920.0,154,1,32111,162.398
507,dry,1080.085993,42.37,0.212,84,698.922,1.48013,14.621,15.052,19.999,202.913,90.0,498.172,3971.194,5038.728,5.017,91.22,29.982,38.292,436,537.389,107.999,69.362,51.252,1.026,9740000000000000.0,1.41e+17,1.38e+17,3e+17,6e+17,30857.277,101.933,897.0,154,0,32222,164.8805
508,dry,1068.506643,31.47,0.212,117,708.278,1.33905,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004,52.821,365,532.275,109.351,72.506,50.769,1.044,1.26e+16,3.11e+16,1.38e+17,3.02e+17,6e+17,32295.6,100.745,884.0,155,0,32333,166.49450000000002
509,dry,1067.237334,37.17,0.205,137,704.101,1.12362,17.92,14.929,20.0,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004,37.522,405,514.823,108.116,71.744,50.936,1.06,5210000000000000.0,4.09e+16,1.38e+17,3.01e+17,6e+17,31614.158,104.38,917.0,155,0,33133,167.15025
510,wet,1035.356914,35.36,0.21,125,715.292,1.62494,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994,27.664,436,494.166,111.283,71.199,51.446,1.024,1.77e+16,1.31e+17,1.38e+17,3.01e+17,6e+17,30534.747,100.517,915.0,156,0,33222,169.873
511,dry,1104.129739,39.02,0.206,204,696.973,1.18246,17.655,15.036,20.005,198.828,90.0,504.606,4017.144,5018.69,4.909,90.377,30.013,49.36,436,533.105,106.293,71.553,50.168,1.011,2.05e+16,1.43e+17,1.38e+17,3e+17,6e+17,32268.828,102.998,898.0,159,0,33311,168.99325
512,wet,956.156908,33.41,0.218,144,713.383,1.22609,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992,40.752,436,518.976,109.532,69.65,51.216,1.053,1.01e+16,2.13e+16,1.38e+17,3.02e+17,6e+17,31093.054,101.814,903.0,156,0,11111,169.52075
513,dry,872.3819847,22.16,0.216,223,712.87,1.00154,16.862,14.931,19.998,204.702,89.999,504.702,4094.047,5117.559,5.107,93.529,29.988,47.83,436,548.32,110.53,71.287,51.867,1.047,1.96e+16,1.65e+17,2.11e+17,3e+17,6e+17,32302.213,104.667,934.0,157,0,31222,173.0925
514,dry,871.8900241,22.17,0.219,226,716.026,0.93292,16.674,14.908,19.998,204.234,90.0,504.234,4084.68,5105.85,5.116,93.645,30.001,37.494,436,541.911,109.924,71.603,52.199,1.055,1.31e+16,1.3e+17,1.38e+17,3.01e+17,6e+17,32301.804,105.498,933.0,158,0,31333,173.6315
515,dry,871.7859734,22.17,0.219,226,715.157,0.99309,16.873,14.917,19.998,204.556,89.998,504.556,4091.123,5113.904,5.102,93.474,29.994,45.14,436,542.695,109.945,71.516,51.977,1.049,2.13e+16,1.54e+17,1.38e+17,3.01e+17,6e+17,32300.133,104.943,931.0,157,0,32133,174.43925000000002
516,dry,871.956216,22.16,0.217,224,713.608,1.0494,16.78,14.912,20.001,204.212,89.999,504.212,4084.234,5105.292,5.098,93.241,30.0,39.937,436,547.454,109.814,71.361,52.042,1.051,1.35e+16,1.07e+17,1.38e+17,2.99e+17,6e+17,32300.191,105.104,928.0,158,0,32222,173.302
517,dry,872.1269792,22.16,0.216,223,712.692,0.93368,16.36,14.966,19.999,204.238,90.001,504.238,4084.761,5105.951,5.121,94.516,29.999,45.357,436,532.047,111.247,71.269,52.165,1.054,5850000000000000.0,3.49e+16,2.28e+16,2.98e+17,6e+17,32299.577,105.413,938.0,158,0,32311,171.248
518,dry,872.0913097,22.17,0.218,225,714.415,0.51565,16.591,15.14,20.001,206.204,89.999,506.204,4124.072,5155.091,5.163,94.396,29.99,54.056,436,537.644,111.176,71.441,52.573,1.064,1.85e+16,9.24e+16,1.38e+17,3.02e+17,6e+17,32299.568,106.433,938.0,160,0,33111,172.72875
519,dry,872.08619,22.17,0.219,226,715.404,0.49182,16.869,14.947,20.004,206.338,90.001,506.338,4126.758,5158.447,5.146,93.776,29.996,42.706,436,542.278,110.133,71.54,52.562,1.064,1.56e+16,9.24e+16,1.38e+17,3.01e+17,6e+17,32299.833,106.404,932.0,160,0,33222,173.751
520,dry,871.5259247,22.2,0.217,224,713.132,0.97399,17.701,15.056,20.001,205.604,90.0,505.604,4112.073,5140.092,5.132,94.389,30.001,48.753,436,546.736,111.052,71.313,52.23,1.056,1.68e+16,9.24e+16,1.38e+17,3.01e+17,6e+17,32300.763,105.575,937.0,158,0,33333,171.608
521,dry,872.2034211,22.18,0.218,225,714.295,0.95345,15.958,15.076,19.997,206.116,90.0,506.116,4122.317,5152.896,5.115,93.043,30.007,31.512,436,544.737,108.828,71.43,52.225,1.056,1.43e+16,1.07e+17,1.38e+17,2.99e+17,6e+17,32302.167,105.563,922.0,158,0,11133,174.97375
522,dry,871.9966538,22.15,0.213,220,710.114,1.02764,15.916,15.084,19.997,203.642,90.0,503.642,4072.835,5091.044,5.104,93.541,30.0,39.583,436,547.376,109.784,71.011,51.705,1.043,1.68e+16,1.64e+17,1.38e+17,3e+17,6e+17,32302.291,104.263,929.0,156,0,11222,172.95350000000002
523,dry,871.9976645,22.15,0.214,221,710.617,0.78214,16.247,15.101,20.002,204.42,90.001,504.42,4088.407,5110.509,5.114,93.317,30.001,34.607,436,543.418,109.532,71.062,51.891,1.047,1.46e+16,9.24e+16,5.92e+16,3e+17,6e+17,32297.831,104.728,927.0,157,0,11311,171.97925
524,dry,871.7516145,22.13,0.215,222,711.632,1.05805,16.739,14.964,19.997,204.484,89.999,504.484,4089.681,5112.101,5.094,93.186,29.997,36.939,436,545.707,109.167,71.163,51.853,1.046,1.43e+16,1.12e+17,1.38e+17,2.99e+17,6e+17,32301.493,104.633,924.0,157,0,12111,171.158
525,dry,871.6678231,22.1,0.213,220,710.084,0.64519,15.99,15.121,19.998,203.145,89.999,503.145,4062.91,5078.637,5.085,93.017,29.991,32.311,436,542.1,109.241,71.008,51.72,1.043,1.03e+16,1.03e+17,1.38e+17,3e+17,6e+17,32300.641,104.301,923.0,156,0,12333,172.69599999999997
526,dry,871.4514757,22.1,0.213,220,710.093,0.97209,17.012,15.063,19.998,203.558,90.001,503.558,4071.152,5088.94,5.09,93.152,30.005,40.276,436,544.474,109.461,71.009,51.837,1.046,1.78e+16,1.35e+17,3.21e+16,3e+17,6e+17,32301.962,104.592,924.0,157,0,13133,172.92325
527,dry,871.6029767,22.1,0.213,220,709.915,0.96194,16.115,15.001,20.0,204.024,90.001,504.024,4080.471,5100.588,5.096,92.998,30.001,30.716,436,540.64,109.151,70.991,51.915,1.048,4870000000000000.0,1.45e+16,2.92e+17,3.02e+17,6e+17,32296.959,104.787,923.0,157,0,13222,174.02875
528,dry,871.05709,22.11,0.214,221,710.547,0.62784,16.257,15.037,19.998,203.303,90.001,503.303,4066.052,5082.565,5.079,93.43,29.995,37.029,436,539.235,109.942,71.055,51.75,1.044,1.17e+16,1.16e+17,9.43e+16,3.02e+17,6e+17,32299.553,104.375,929.0,157,0,13311,172.18675000000002
529,dry,871.8284764,22.09,0.214,221,711.029,0.98943,16.974,15.023,20.001,204.032,89.999,504.032,4080.631,5100.789,5.092,92.562,30.004,30.263,436,554.023,108.49,71.103,51.863,1.047,7560000000000000.0,2.93e+16,1.38e+17,2.99e+17,6e+17,32300.0,104.659,918.0,157,0,21111,172.45725
530,dry,871.7135322,22.09,0.212,219,709.076,0.92361,16.545,14.966,19.998,202.483,90.0,502.483,4049.67,5062.087,5.057,92.632,30.005,29.346,436,548.455,108.904,70.908,51.506,1.038,1.54e+16,1.36e+17,1.89e+17,3e+17,6e+17,32299.332,103.766,921.0,156,0,21222,171.144
531,dry,871.6839399,22.09,0.214,221,710.146,0.49806,16.691,14.971,20.001,202.787,90.0,502.787,4055.738,5069.673,5.07,92.741,29.996,30.558,436,544.367,108.869,71.015,51.631,1.041,5270000000000000.0,4.07e+16,1.09e+17,3e+17,6e+17,32302.041,104.078,921.0,156,0,21333,173.51149999999998
532,dry,871.3102963,22.1,0.213,220,709.957,0.58744,16.145,15.028,20.001,202.29,89.999,502.29,4045.794,5057.243,5.058,92.721,30.004,30.501,436,558.871,108.776,70.996,51.48,1.037,6880000000000000.0,5.42e+16,6.58e+16,3e+17,6e+17,32305.414,103.699,921.0,156,0,22222,172.21425
533,dry,871.5861457,22.11,0.213,220,709.783,0.89305,16.416,15.048,19.999,202.273,90.001,502.273,4045.461,5056.827,5.059,92.488,30.006,31.024,436,552.429,108.708,70.978,51.567,1.039,1.62e+16,1.4e+17,2.96e+16,2.99e+17,6e+17,32299.686,103.919,920.0,156,0,22311,172.62075
534,dry,871.636985,22.08,0.213,220,709.973,1.22993,16.007,14.993,19.998,201.875,90.001,501.875,4037.5,5046.876,5.048,92.217,30.002,22.161,436,546.001,108.235,70.997,51.454,1.036,7510000000000000.0,5.46e+16,1.32e+17,2.99e+17,6e+17,32300.601,103.634,916.0,155,0,23111,170.64325
535,dry,871.509909,22.09,0.213,220,709.984,0.5355,16.745,15.044,20.004,202.105,90.0,502.105,4042.1,5052.626,5.06,92.618,30.002,26.662,436,551.305,108.609,70.998,51.395,1.035,5250000000000000.0,9.24e+16,1.38e+17,3e+17,6e+17,32299.226,103.488,919.0,155,0,23222,171.671
536,dry,871.2371173,22.09,0.213,220,709.983,0.73244,16.452,14.994,20.0,202.625,90.0,502.625,4052.501,5065.626,5.059,92.545,30.005,30.218,436,555.997,108.305,70.998,51.442,1.036,1.75e+16,1.55e+17,1.38e+17,3.01e+17,6e+17,32298.267,103.604,918.0,155,0,23333,171.42075
537,dry,871.5810826,22.09,0.214,221,710.137,1.04672,17.44,14.966,20.006,202.201,90.001,502.201,4044.028,5055.035,5.043,92.821,30.0,31.786,436,551.176,108.66,71.014,51.3,1.032,9730000000000000.0,9.24e+16,1.38e+17,3e+17,6e+17,32299.142,103.249,920.0,155,0,31133,172.93424999999996
538,dry,871.5927565,22.09,0.214,221,710.837,0.80707,16.962,15.041,19.997,202.941,89.999,502.941,4058.827,5073.534,5.057,92.55,30.003,25.02,436,550.435,108.473,71.084,51.438,1.036,2.07e+16,1.22e+17,1.38e+17,3e+17,6e+17,32301.724,103.595,918.0,155,0,31222,172.23425
539,dry,871.46516,22.1,0.214,221,710.727,0.87883,16.655,14.823,20.005,202.059,90.0,502.059,4041.184,5051.48,5.062,92.812,30.013,34.196,436,563.401,108.962,71.073,51.277,1.032,1.08e+16,1.53e+16,1.38e+17,3.01e+17,6e+17,32202.644,103.192,924.0,155,0,31311,172.25674999999998
540,dry,1060.630568,32.41,0.209,114,707.44,1.36943,16.921,15.102,19.995,198.225,90.0,502.749,4084.939,4933.829,5.061,90.515,30.011,43.579,405,472.853,106.798,70.341,51.052,1.06,5930000000000000.0,9.22e+16,1.2e+17,3e+17,6e+17,31490.992,105.795,890.0,154,0,12111,166.81
541,wet,1245.670439,37.48,0.204,106,707.18,1.92633,13.908,14.999,19.995,199.62,89.999,502.125,4045.078,5009.51,4.92,89.336,29.991,44.797,436,534.455,109.373,71.972,52.479,1.042,1.12e+16,9.48e+16,1.38e+17,3.01e+17,6e+17,32725.266,103.911,911.0,156,0,12122,169.59499999999997
542,wet,1104.127758,32.84,0.206,165,714.239,1.41846,14.435,15.059,20.0,199.343,90.0,499.319,4010.176,5055.398,5.096,92.718,30.011,42.474,436,541.607,107.068,71.448,51.337,1.016,7300000000000000.0,6.26e+16,1.38e+17,3.01e+17,6e+17,31538.328,103.924,896.0,152,0,12133,166.68475
543,dry,1144.293583,32.35,0.201,174,704.313,0.67979,13.612,14.976,19.998,200.716,90.0,505.745,4080.116,5004.189,4.934,92.045,30.004,46.074,405,542.378,107.179,71.456,50.466,1.04,1.79e+16,9.12e+16,1.38e+17,3e+17,6e+17,31998.259,100.411,920.0,154,0,12111,172.97825
544,wet,1027.3162,37.89,0.204,75,699.531,0.73422,14.795,15.077,20.005,197.232,89.999,494.887,4039.539,5118.878,5.062,91.009,30.002,63.17,405,510.897,108.38,71.025,50.813,1.034,9720000000000000.0,8.64e+16,1.38e+17,3e+17,6e+17,31811.636,103.273,923.0,154,0,12122,162.90775
545,wet,1120.306924,31.7,0.21,167,702.707,0.94868,17.679,15.047,19.998,195.711,90.001,504.231,4104.008,4976.329,5.118,90.552,29.995,34.847,405,518.154,106.26,71.306,51.814,1.02,1.34e+16,1.69e+17,1.38e+17,3.01e+17,6e+17,32124.08,104.34,900.0,157,0,12133,165.80175
546,wet,1169.604773,30.63,0.202,151,706.277,0.83591,18.779,14.938,19.997,205.521,90.001,500.053,4036.214,5079.015,5.004,94.494,30.014,34.181,405,541.412,111.001,71.297,50.787,1.031,8520000000000000.0,1.9e+17,1.38e+17,2.98e+17,6e+17,30891.41,100.362,910.0,154,0,12111,166.89425
547,dry,1050.488745,35.88,0.221,113,713.085,1.36943,17.805,15.024,19.998,193.229,90.001,500.402,4082.9,5024.711,4.881,92.963,30.009,24.236,436,520.185,107.77,70.839,50.837,1.028,9280000000000000.0,1.04e+17,1.38e+17,3.01e+17,6e+17,31517.072,105.868,885.0,153,0,12122,170.67125000000001
548,dry,1133.970016,42.9,0.199,64,703.97,1.92633,13.068,14.989,20.0,200.843,90.001,494.976,4003.0,4996.567,5.066,92.554,30.007,64.634,365,495.864,108.077,69.835,52.027,1.04,1.42e+16,1.32e+17,1.38e+17,3e+17,6e+17,31790.504,100.638,867.0,150,0,12133,163.8925
549,dry,1020.186239,27.08,0.2,113,711.401,1.41846,17.634,14.914,19.998,197.875,90.0,499.243,4067.864,5103.516,4.946,94.745,30.0,34.175,436,546.682,108.891,70.848,51.578,1.001,6520000000000000.0,8.25e+16,1.38e+17,3.01e+17,6e+17,32067.825,102.656,901.0,154,0,12211,174.17524999999998
550,wet,1097.177147,39.28,0.193,147,723.358,0.67979,15.585,14.848,20.001,204.07,90.001,501.188,4024.495,5011.014,4.938,89.548,30.0,43.434,436,501.061,106.848,70.915,51.108,1.036,1.42e+16,1.49e+17,1.38e+17,3.01e+17,6e+17,31126.867,105.072,893.0,158,0,12222,167.2645
551,wet,927.1331388,29.1,0.215,128,713.195,0.73422,19.247,14.934,19.994,201.964,90.0,493.336,4021.57,5107.302,4.986,92.897,29.999,43.808,405,539.401,108.757,69.914,51.379,1.037,1.13e+16,1.13e+17,6.93e+16,2.99e+17,6e+17,31104.203,102.618,923.0,157,0,12233,162.79875
552,dry,1179.268162,27.49,0.201,68,708.223,1.09607,15.3,15.023,20.001,200.642,89.999,503.656,4030.974,5017.72,5.07,90.439,30.006,50.402,405,503.268,107.918,70.941,51.727,1.045,1.11e+16,1.23e+17,1.38e+17,3.02e+17,6e+17,32566.66,99.988,887.0,155,0,12211,166.95575
553,wet,1036.679105,34.11,0.205,129,709.468,2.19916,14.855,15.019,20.003,198.568,90.001,506.09,4016.14,4899.117,4.999,93.896,29.996,59.605,436,550.733,107.356,71.774,51.297,1.054,1.03e+16,8.15e+16,1.38e+17,3.01e+17,6e+17,32521.877,99.525,892.0,153,0,12222,167.642
554,wet,1189.009553,37.93,0.212,179,702.876,0.62819,15.425,14.776,20.0,196.989,90.0,500.146,3995.851,5040.55,4.989,92.294,30.003,50.867,436,509.452,107.074,69.947,51.177,1.019,1.33e+16,3.68e+16,1.38e+17,3.01e+17,6e+17,31358.645,105.044,899.0,152,0,12233,170.019
555,dry,1031.181355,33.82,0.213,55,705.424,1.01327,15.302,15.033,20.001,201.671,90.0,503.13,4068.598,5097.52,5.04,93.479,29.995,30.188,365,536.552,109.892,71.607,50.932,1.034,1.06e+16,1.22e+16,1.38e+17,3.01e+17,6e+17,31818.475,102.605,920.0,152,0,12211,164.356
556,wet,1172.615341,33.08,0.205,121,694.973,0.82107,19.33,14.895,19.999,200.472,90.0,501.31,4032.002,5025.811,4.856,92.399,29.999,51.146,436,516.135,108.357,71.176,52.269,1.032,1.69e+16,9.4e+16,1.38e+17,3.01e+17,6e+17,31391.261,106.14,911.0,159,0,12222,165.64325
557,wet,993.7592724,35.14,0.21,125,699.61,2.17388,14.202,15.039,20.003,195.62,90.001,501.817,4061.169,4970.858,4.994,91.181,30.004,51.079,436,540.772,108.067,70.758,51.796,1.008,6160000000000000.0,1.62e+17,1.38e+17,3.01e+17,6e+17,32378.318,104.608,900.0,150,0,12233,169.70250000000001
558,wet,1145.27127,25.2,0.195,186,709.326,1.91871,15.979,14.981,20.001,204.061,89.999,502.391,4055.237,5070.02,5.038,93.341,29.993,34.118,436,556.889,107.878,70.973,51.77,1.012,1.05e+16,1.83e+17,1.38e+17,3e+17,6e+17,31655.809,106.163,892.0,151,0,12311,166.8565
559,wet,1189.027293,32.31,0.225,178,703.43,1.70572,15.467,15.167,19.999,201.84,89.999,507.183,4001.361,4922.31,5.002,92.275,30.002,29.099,436,533.306,108.546,71.049,51.212,1.024,1.22e+16,8.92e+16,1.19e+17,3e+17,6e+17,31475.03,104.423,867.0,155,0,12322,163.83249999999998
560,dry,1232.84013,31.05,0.202,135,693.884,1.91149,16.292,14.955,20.003,203.373,90.0,501.286,4054.534,5020.408,4.925,92.602,30.002,58.236,405,518.361,109.099,70.119,51.77,1.033,1.01e+16,1.34e+17,1.38e+17,3.01e+17,6e+17,32535.703,100.868,894.0,153,0,12333,165.496
561,dry,1203.837063,44.4,0.21,91,712.072,2.10876,15.389,14.924,20.003,199.778,89.999,503.396,3957.086,4987.505,5.052,90.014,30.004,50.242,405,511.164,107.421,72.115,50.716,1.037,6900000000000000.0,7.73e+16,1.38e+17,3e+17,6e+17,30855.391,104.158,891.0,151,0,12311,167.743
562,wet,1094.539209,32.52,0.193,90,707.578,1.00451,15.637,15.084,19.999,203.21,89.999,501.423,4087.957,5063.6,5.045,91.947,29.998,48.317,436,534.801,108.139,70.245,50.29,1.017,1.58e+16,7.24e+16,1.7e+17,3e+17,6e+17,31108.4,102.193,871.0,159,0,12322,168.4195
563,dry,1156.217768,37.34,0.205,86,706.773,1.48013,15.27,15.1,19.999,197.994,90.0,501.079,4025.484,4974.792,5.05,91.942,29.994,47.379,365,500.101,108.25,70.437,50.087,1.027,9800000000000000.0,1.17e+17,1.38e+17,2.99e+17,6e+17,31638.792,105.637,920.0,157,0,12333,170.76825000000002
564,dry,1075.390683,35.21,0.21,56,714.762,1.33905,15.085,14.983,20.003,200.863,90.002,501.572,4036.876,5089.309,4.91,94.751,29.996,49.091,436,511.047,109.34,70.888,51.091,1.014,6710000000000000.0,1.33e+17,1.38e+17,3.01e+17,6e+17,32033.214,103.982,905.0,152,0,12311,171.89049999999997
565,wet,1054.980847,39.84,0.22,126,697.495,1.12362,17.717,15.013,19.99,201.966,90.0,497.102,4014.071,4966.455,4.988,91.712,29.997,41.355,365,522.118,108.789,70.392,50.488,1.056,1.28e+16,7.66e+16,1.38e+17,2.99e+17,6e+17,31929.509,102.576,893.0,154,0,12322,158.97375
566,dry,1173.3376,38.4,0.212,107,716.621,1.62494,19.372,14.947,19.997,198.005,90.001,500.154,3985.686,4933.834,4.946,92.482,30.004,46.285,436,499.689,107.465,72.489,51.776,1.034,1.78e+16,7.44e+16,1.38e+17,3.01e+17,6e+17,32769.049,101.986,898.0,155,0,12333,169.48025
567,dry,882.6331799,22.11,0.216,24,713.032,0.96161,20.701,14.903,20.0,203.143,90.001,503.143,4062.853,5078.567,5.068,92.699,30.011,30.232,436,470.478,108.441,71.303,51.476,1.037,1.93e+16,3.16e+16,9.62e+16,3e+17,6e+17,32198.012,103.689,919.0,156,0,21111,173.45800000000003
568,dry,881.9345137,22.13,0.215,23,711.612,1.48912,11.253,14.955,19.996,202.415,90.0,502.415,4048.301,5060.377,5.064,92.825,30.002,26.925,436,460.719,108.71,71.161,51.463,1.037,7620000000000000.0,2.24e+16,1.38e+17,3e+17,6e+17,32300.163,103.658,921.0,155,0,21122,173.053
569,dry,889.7260754,22.11,0.216,23,712.392,0.94868,15.286,14.995,19.998,202.79,90.0,502.79,4055.794,5069.742,5.061,92.794,30.007,31.411,436,472.83,108.854,71.239,51.495,1.047,1.1e+16,1.06e+17,1.38e+17,2.99e+17,6e+17,32297.58,103.738,923.0,156,0,21133,171.973
570,dry,884.7285067,22.11,0.2,23,712.963,0.83591,12.463,15.034,20.004,202.86,90.0,502.86,4057.205,5071.506,5.064,93.136,29.996,37.292,436,474.027,108.995,71.296,51.45,1.048,2800000000000000.0,4790000000000000.0,1.38e+17,3.01e+17,6e+17,32297.14,103.626,927.0,155,0,21111,173.14074999999997
571,dry,885.2738551,22.12,0.194,24,713.24,1.36943,19.767,14.999,20.0,203.245,90.0,503.245,4064.904,5081.13,5.081,92.78,30.006,30.239,436,472.243,108.878,71.324,51.567,1.048,1.96e+16,1.1e+17,1.38e+17,3e+17,6e+17,32300.024,103.918,925.0,156,0,21122,173.51
572,dry,886.8488838,22.14,0.217,25,713.658,1.92633,16.029,15.063,20.005,202.792,89.999,502.792,4055.848,5069.81,5.067,92.822,30.002,32.761,436,472.83,108.876,71.366,51.581,1.047,1.97e+16,9.24e+16,1.38e+17,3.01e+17,6e+17,32199.199,103.953,925.0,156,0,21133,172.0895
573,dry,881.2108793,22.14,0.201,25,714.028,1.41846,17.587,14.908,20.004,203.326,90.0,503.326,4066.523,5083.153,5.064,92.407,29.991,17.203,436,477.914,108.302,71.403,51.384,1.047,2e+16,5.42e+16,1.38e+17,3e+17,6e+17,32300.098,103.46,920.0,155,0,21111,173.83200000000002
574,dry,890.596995,22.13,0.204,32,713.609,0.67979,16.445,14.981,20.001,202.201,90.001,502.201,4044.026,5055.033,5.059,92.655,29.994,28.684,436,470.446,108.795,71.361,51.396,1.046,1.29e+16,1.4e+17,9.92e+16,3e+17,6e+17,32299.356,103.489,925.0,155,0,21122,174.10225
575,dry,887.9439996,22.14,0.204,32,714.418,0.73422,17.31,15.069,20.005,202.683,90.0,502.683,4053.656,5067.07,5.063,92.695,29.993,29.181,436,468.93,108.185,71.442,51.35,1.047,7340000000000000.0,5.46e+16,1.38e+17,2.99e+17,6e+17,32300.822,103.375,920.0,155,0,21133,173.2795
576,dry,876.9714531,22.15,0.2,32,712.826,0.94868,16.395,15.082,20.001,202.436,90.0,502.436,4048.718,5060.898,5.056,92.595,30.001,26.682,436,469.586,108.257,71.283,51.261,1.051,7360000000000000.0,9.24e+16,1.38e+17,3.02e+17,6e+17,32297.222,103.153,920.0,155,0,21211,173.0815
577,dry,874.1109183,22.15,0.199,32,713.234,0.84297,17.524,15.054,19.997,202.519,90.001,502.519,4001.361,5062.966,5.08,93.323,30.005,33.873,436,476.399,109.303,71.323,51.566,1.052,1.19e+16,1.55e+17,1.38e+17,3.01e+17,6e+17,32300.66,103.914,930.0,156,0,21222,173.7585
578,dry,877.0035156,22.17,0.203,31,715.187,0.458,17.479,14.994,20.002,202.948,90.0,502.948,4054.534,5073.7,5.049,92.71,30.0,29.884,436,476.997,108.556,71.519,51.449,1.053,4190000000000000.0,9.24e+16,2.77e+17,3e+17,6e+17,32301.818,103.622,924.0,155,0,21233,175.22175
579,dry,887.6633485,22.16,0.204,32,714.097,1.11384,16.519,15.045,19.995,203.021,90.0,503.021,3957.086,5075.528,5.056,92.108,30.0,19.704,436,552.565,107.864,71.41,51.256,1.056,7580000000000000.0,1.22e+17,1.38e+17,3e+17,6e+17,32295.402,103.139,917.0,155,0,21211,173.62425
580,dry,873.4998176,22.15,0.189,31,713.596,0.53091,15.997,14.99,20.003,201.79,89.999,501.79,4087.957,5044.75,5.048,92.168,29.999,21.393,436,557.195,107.739,71.36,51.265,1.032,1.02e+16,1.53e+16,9.43e+16,3e+17,6e+17,32299.416,103.163,917.0,155,0,21222,175.349
