Unnamed: 0,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
270,NOLSM460181460,1,Etching,98,1370,3614,5683,68.846,51.516,1.0,18,28,06-03-2019
271,NOLSM461182461,2,Etching,183,1346,3615,5711,69.097,50.559,1.014,18,29,06-03-2019
272,NOLSM462183462,3,Etching,195,1396,3628,5704,70.485,51.093,1.027,18,30,06-03-2019
273,NOLSM463184463,1,Etching,183,1378,3630,5689,70.805,51.007,1.025,18,31,06-03-2019
274,NOLSM464185464,2,Etching,152,1420,3636,5717,71.258,51.175,1.029,18,32,06-03-2019
275,NOLSM465186465,3,Etching,150,1329,3637,5708,71.248,51.054,1.026,18,33,06-03-2019
276,NOLSM466187466,1,Etching,62,1418,3634,5732,71.248,51.153,1.029,18,34,06-03-2019
277,NOLSM467188467,2,Etching,143,1415,3636,5701,71.378,51.38,1.034,18,35,06-03-2019
278,NOLSM468189468,3,Etching,113,1413,3638,5726,71.36,50.989,1.025,18,36,06-03-2019
279,NOLSM4691810469,1,Etching,178,1486,3639,5726,71.225,51.355,1.034,18,37,06-03-2019
280,NOLSM4701811470,2,Etching,241,1505,3637,5728,71.244,51.355,1.034,18,38,06-03-2019
281,NOLSM4711812471,3,Etching,165,1399,3635,5705,71.221,51.61,1.04,18,39,06-03-2019
282,NOLSM4721813472,1,Etching,136,1393,3639,5733,71.371,51.651,1.041,18,40,06-03-2019
283,NOLSM4731814473,2,Etching,192,1438,3642,5693,71.321,51.618,1.04,18,41,06-03-2019
284,NOLSM4741815474,3,Etching,167,1414,3635,5725,71.375,51.608,1.04,18,42,06-03-2019
285,NOLSM4751816475,1,Etching,142,1461,3640,5689,71.47,51.881,1.047,18,43,06-03-2019
286,NOLSM4761817476,2,Etching,200,1448,3635,5706,71.346,51.626,1.041,18,44,06-03-2019
287,NOLSM4771818477,3,Etching,107,1370,3636,5721,71.284,51.506,1.038,18,45,06-03-2019
288,NOLSM4781819478,1,Etching,53,1311,3635,5721,71.345,51.632,1.041,18,46,06-03-2019
289,NOLSM4791820479,2,Etching,228,1356,3640,5721,71.322,51.699,1.042,18,47,06-03-2019
290,NOLSM4801821480,3,Etching,182,1372,3640,5704,71.411,51.862,1.047,18,48,06-03-2019
291,NOLSM4811822481,1,Etching,136,1308,3634,5705,71.383,51.928,1.048,18,49,06-03-2019
292,NOLSM4821823482,2,Etching,160,1306,3637,5715,71.517,52.139,1.053,18,50,06-03-2019
293,NOLSM4831824483,3,Etching,132,1709,3637,5729,71.304,51.748,1.044,18,51,06-03-2019
294,NOLSM4841825484,1,Etching,145,1468,3638,5723,71.296,51.876,1.047,18,52,06-03-2019
295,NOLSM4851826485,2,Etching,114,1466,3635,5696,71.4,51.904,1.048,18,53,06-03-2019
296,NOLSM4861827486,3,Etching,210,1390,3644,5732,71.385,51.894,1.047,18,54,06-03-2019
297,NOLSM460181,1,Etching,98,1370,3614,5683,68.846,49.99,1.0,18,1,06-03-2019
298,NOLSM461182,1,Etching,183,1346,3615,5711,69.097,50.559,1.014,18,2,06-03-2019
299,NOLSM462183,2,Etching,195,1396,3628,5704,70.485,51.093,1.027,18,3,06-03-2019
300,NOLSM463184,3,Etching,183,1378,3630,5689,70.805,51.007,1.025,18,4,06-03-2019
301,NOLSM464185,3,Etching,152,1420,3636,5717,71.258,51.175,1.029,18,5,06-03-2019
302,NOLSM465186,2,Etching,150,1329,3637,5708,71.248,51.054,1.026,18,6,06-03-2019
303,NOLSM466187,1,Etching,62,1418,3634,5732,71.248,51.153,1.029,18,7,06-03-2019
304,NOLSM467188,1,Etching,143,1415,3636,5701,71.378,51.38,1.034,18,8,06-03-2019
305,NOLSM468189,2,Etching,113,1413,3638,5726,71.36,50.989,1.025,18,9,06-03-2019
306,NOLSM4691810,3,Etching,178,1486,3639,5726,71.225,51.355,1.034,18,10,06-03-2019
307,NOLSM4701811,2,Etching,241,1505,3637,5728,71.244,51.355,1.034,18,11,06-03-2019
308,NOLSM4711812,1,Etching,165,1399,3635,5705,71.221,51.61,1.04,18,12,06-03-2019
309,NOLSM4721813,1,Etching,136,1393,3639,5733,71.371,51.651,1.041,18,13,06-03-2019
310,NOLSM4731814,2,Etching,192,1438,3642,5693,71.321,51.618,1.04,18,14,06-03-2019
311,NOLSM4741815,3,Etching,167,1414,3635,5725,71.375,51.608,1.04,18,15,06-03-2019
312,NOLSM4751816,3,Etching,142,1461,3640,5689,71.47,51.881,1.047,18,16,06-03-2019
313,NOLSM4761817,1,Etching,200,1448,3635,5706,71.346,51.626,1.041,18,17,06-03-2019
314,NOLSM4771818,1,Etching,107,1370,3636,5721,71.284,51.506,1.038,18,18,06-03-2019
315,NOLSM4781819,2,Etching,53,1311,3635,5721,71.345,51.632,1.041,18,19,06-03-2019
316,NOLSM4791820,3,Etching,228,1356,3640,5721,71.322,51.699,1.042,18,20,06-03-2019
317,NOLSM4801821,3,Etching,182,1372,3640,5704,71.411,51.862,1.047,18,21,06-03-2019
318,NOLSM4811822,2,Etching,136,1308,3634,5705,71.383,51.928,1.048,18,22,06-03-2019
319,NOLSM4821823,1,Etching,160,1306,3637,5715,71.517,52.139,1.053,18,23,06-03-2019
320,NOLSM4831824,1,Etching,132,1373,3637,5729,71.304,51.748,1.044,18,24,06-03-2019
321,NOLSM4841825,2,Etching,145,1413,3638,5723,71.296,51.876,1.047,18,25,06-03-2019
322,NOLSM4851826,3,Etching,114,1282,3635,5696,71.4,51.904,1.048,18,26,06-03-2019
323,NOLSM4861827,3,Etching,210,1428,3644,5732,71.385,51.894,1.047,18,27,06-03-2019
324,NOLSM487191487,1,Etching,191,1561,3640,5690,71.52,52.092,1.052,19,28,07-03-2019
325,NOLSM488192488,2,Etching,180,1665,3636,5711,71.539,52.101,1.053,19,29,07-03-2019
326,NOLSM489193489,3,Etching,241,1573,3637,5704,71.544,52.168,1.054,19,30,07-03-2019
327,NOLSM490194490,1,Etching,210,1526,3646,5694,71.695,52.326,1.058,19,31,07-03-2019
328,NOLSM491195491,2,Etching,136,1481,3640,5721,71.608,52.369,1.059,19,32,07-03-2019
329,NOLSM492196492,3,Etching,198,1588,3641,5726,71.56,51.699,1.042,19,33,07-03-2019
330,NOLSM493197493,1,Etching,186,1441,3645,5729,71.397,51.598,1.04,19,34,07-03-2019
331,NOLSM494198494,2,Etching,195,1441,3642,5732,71.348,51.548,1.039,19,35,07-03-2019
332,NOLSM495199495,3,Etching,270,1402,3639,5720,71.033,51.571,1.039,19,36,07-03-2019
333,NOLSM4961910496,1,Etching,185,1459,3646,5692,71.137,51.729,1.043,19,37,07-03-2019
334,NOLSM4971911497,2,Etching,363,1508,3656,5702,71.234,51.523,1.038,19,38,07-03-2019
335,NOLSM4981912498,3,Etching,243,1459,3646,5721,71.249,51.41,1.035,19,39,07-03-2019
336,NOLSM4991913499,1,Etching,281,1497,3651,5688,71.169,51.932,1.048,19,40,07-03-2019
337,NOLSM5001914500,2,Etching,326,1514,3653,5696,71.153,51.904,1.048,19,41,07-03-2019
338,NOLSM5011915501,3,Etching,345,1492,3652,5729,71.196,51.51,1.038,19,42,07-03-2019
339,NOLSM5021916502,1,Etching,325,1442,3657,5711,71.174,52.03,1.051,19,43,07-03-2019
340,NOLSM5031917503,2,Etching,175,1538,3657,5709,71.287,52.084,1.052,19,44,07-03-2019
341,NOLSM5041918504,3,Etching,202,1515,3677,5719,71.17,51.986,1.05,19,45,07-03-2019
342,NOLSM5051919505,1,Etching,313,1422,3631,5703,71.164,50.934,1.023,19,46,07-03-2019
343,NOLSM5061920506,2,Etching,224,1453,3636,5722,71.119,51.06,1.027,19,47,07-03-2019
344,NOLSM5071921507,3,Etching,333,1450,3633,5702,71.256,51.492,1.037,19,48,07-03-2019
345,NOLSM5081922508,1,Etching,269,1338,3633,5724,71.402,51.537,1.038,19,49,07-03-2019
346,NOLSM5091923509,2,Etching,216,1455,3631,5712,71.287,51.127,1.028,19,50,07-03-2019
347,NOLSM5101924510,3,Etching,236,1342,3631,5717,70.95,51.203,1.03,19,51,07-03-2019
348,NOLSM5111925511,1,Etching,151,1369,3629,5722,70.909,51.425,1.036,19,52,07-03-2019
349,NOLSM5121926512,2,Etching,207,1388,3638,5727,71.054,51.231,1.031,19,53,07-03-2019
350,NOLSM5131927513,3,Etching,212,1378,3635,5686,70.693,51.008,1.025,19,54,07-03-2019
351,NOLSM487191,2,Etching,191,1382,3640,5690,71.52,52.092,1.052,19,1,07-03-2019
352,NOLSM488192,1,Etching,180,1403,3636,5711,71.539,52.101,1.053,19,2,07-03-2019
353,NOLSM489193,1,Etching,241,1372,3637,5704,71.544,52.168,1.054,19,3,07-03-2019
354,NOLSM490194,2,Etching,210,1448,3646,5694,71.695,52.326,1.058,19,4,07-03-2019
355,NOLSM491195,3,Etching,136,1428,3640,5721,71.608,52.369,1.059,19,5,07-03-2019
356,NOLSM492196,3,Etching,198,1388,3641,5726,71.56,51.699,1.042,19,6,07-03-2019
357,NOLSM493197,2,Etching,186,1388,3645,5729,71.397,51.598,1.04,19,7,07-03-2019
358,NOLSM494198,1,Etching,195,1358,3642,5732,71.348,51.548,1.039,19,8,07-03-2019
359,NOLSM495199,1,Etching,270,1368,3639,5720,71.363,51.571,1.039,19,9,07-03-2019
360,NOLSM4961910,2,Etching,185,1459,3646,5692,71.496,51.729,1.043,19,10,07-03-2019
361,NOLSM4971911,3,Etching,363,1508,3656,5702,71.364,51.523,1.038,19,11,07-03-2019
362,NOLSM4981912,3,Etching,243,1459,3646,5721,71.298,51.41,1.035,19,12,07-03-2019
363,NOLSM4991913,2,Etching,281,1497,3651,5688,71.556,51.932,1.048,19,13,07-03-2019
364,NOLSM5001914,1,Etching,326,1514,3653,5696,71.56,51.904,1.048,19,14,07-03-2019
365,NOLSM5011915,1,Etching,345,1492,3652,5729,71.456,51.51,1.038,19,15,07-03-2019
366,NOLSM5021916,2,Etching,325,1442,3657,5711,71.648,52.03,1.051,19,16,07-03-2019
367,NOLSM5031917,3,Etching,365,1538,3657,5709,71.651,52.084,1.052,19,17,07-03-2019
368,NOLSM5041918,3,Etching,625,1515,3677,5719,71.633,51.986,1.05,19,18,07-03-2019
369,NOLSM5051919,2,Etching,50,1422,3631,5703,70.995,50.934,1.023,19,19,07-03-2019
370,NOLSM5061920,1,Etching,214,1453,3636,5722,70.95,51.06,1.027,19,20,07-03-2019
371,NOLSM5071921,1,Etching,136,1450,3633,5702,71.011,51.492,1.037,19,21,07-03-2019
372,NOLSM5081922,2,Etching,95,1338,3633,5724,71.159,51.537,1.038,19,22,07-03-2019
373,NOLSM5091923,3,Etching,151,1455,3631,5712,70.974,51.127,1.028,19,23,07-03-2019
374,NOLSM5101924,2,Etching,53,1342,3631,5717,70.95,51.203,1.03,19,24,07-03-2019
375,NOLSM5111925,1,Etching,148,1369,3629,5722,70.909,51.425,1.036,19,25,07-03-2019
376,NOLSM5121926,1,Etching,188,1388,3638,5727,71.054,51.231,1.031,19,26,07-03-2019
377,NOLSM5131927,2,Etching,221,1378,3635,5686,70.693,51.008,1.025,19,27,07-03-2019
378,NOLSM514201514,1,Etching,218,1441,3639,5720,70.665,50.887,1.022,20,28,08-03-2019
379,NOLSM515202515,2,Etching,177,1328,3636,5714,70.586,50.914,1.023,20,29,08-03-2019
380,NOLSM516203516,3,Etching,221,1418,3639,5702,70.748,51.262,1.032,20,30,08-03-2019
381,NOLSM517204517,1,Etching,175,1408,3630,5717,70.693,50.996,1.025,20,31,08-03-2019
382,NOLSM518205518,2,Etching,236,1391,3636,5714,70.98,51.72,1.043,20,32,08-03-2019
383,NOLSM519206519,3,Etching,286,1349,3635,5680,70.908,51.437,1.036,20,33,08-03-2019
384,NOLSM520207520,1,Etching,174,1432,3635,5729,70.984,51.358,1.034,20,34,08-03-2019
385,NOLSM521208521,2,Etching,136,1331,3630,5717,70.929,51.567,1.039,20,35,08-03-2019
386,NOLSM522209522,3,Etching,208,1350,3632,5719,70.929,51.831,1.047,20,36,08-03-2019
387,NOLSM5232010523,1,Etching,404,1460,3649,5687,71.047,51.579,1.048,20,37,08-03-2019
388,NOLSM5242011524,2,Etching,111,1260,3631,5681,71.109,51.717,1.048,20,38,08-03-2019
389,NOLSM5252012525,3,Etching,217,1337,3638,5720,71.133,51.574,1.047,20,39,08-03-2019
390,NOLSM5262013526,1,Etching,177,1323,3633,5709,70.946,51.451,1.047,20,40,08-03-2019
391,NOLSM5272014527,2,Etching,193,1511,3637,5696,71.033,51.592,1.046,20,41,08-03-2019
392,NOLSM5282015528,3,Etching,237,1709,3641,5691,71.137,51.717,1.047,20,42,08-03-2019
393,NOLSM5292016529,1,Etching,255,1468,3641,5729,71.234,51.851,1.051,20,43,08-03-2019
394,NOLSM5302017530,2,Etching,256,1466,3643,5709,71.249,51.735,1.052,20,44,08-03-2019
395,NOLSM5312018531,3,Etching,151,1390,3634,5711,71.169,51.714,1.053,20,45,08-03-2019
396,NOLSM5322019532,1,Etching,206,1561,3641,5725,71.153,51.744,1.056,20,46,08-03-2019
397,NOLSM5332020533,2,Etching,158,1665,3637,5693,71.196,51.704,1.043,20,47,08-03-2019
398,NOLSM5342021534,3,Etching,278,1573,3641,5689,71.174,51.699,1.042,20,48,08-03-2019
399,NOLSM5352022535,1,Etching,381,1526,3656,5713,71.287,51.796,1.045,20,49,08-03-2019
400,NOLSM5362023536,2,Etching,297,1481,3645,5708,71.17,51.694,1.042,20,50,08-03-2019
401,NOLSM5372024537,3,Etching,212,1588,3639,5698,71.164,51.679,1.042,20,51,08-03-2019
402,NOLSM5382025538,1,Etching,177,1441,3640,5687,71.119,51.595,1.04,20,52,08-03-2019
403,NOLSM5392026539,2,Etching,190,1441,3636,5722,71.256,51.811,1.045,20,53,08-03-2019
404,NOLSM5402027540,3,Etching,204,1402,3641,5728,71.402,51.834,1.046,20,54,08-03-2019
405,NOLSM514201,3,Etching,256,1441,3639,5720,70.665,50.887,1.022,20,1,08-03-2019
406,NOLSM515202,3,Etching,191,1328,3636,5714,70.586,50.914,1.023,20,2,08-03-2019
407,NOLSM516203,2,Etching,224,1418,3639,5702,70.748,51.262,1.032,20,3,08-03-2019
408,NOLSM517204,1,Etching,122,1408,3630,5717,70.693,50.996,1.025,20,4,08-03-2019
409,NOLSM518205,1,Etching,236,1391,3636,5714,70.98,51.72,1.043,20,5,08-03-2019
410,NOLSM519206,2,Etching,286,1349,3635,5680,70.908,51.437,1.036,20,6,08-03-2019
411,NOLSM520207,3,Etching,174,1432,3635,5729,70.984,51.358,1.034,20,7,08-03-2019
412,NOLSM521208,2,Etching,136,1331,3630,5717,70.929,51.567,1.039,20,8,08-03-2019
413,NOLSM522209,1,Etching,208,1350,3632,5719,70.929,51.831,1.046,20,9,08-03-2019
414,NOLSM5232010,1,Etching,404,1460,3649,5687,71.047,51.579,1.039,20,10,08-03-2019
415,NOLSM5242011,2,Etching,111,1260,3631,5681,71.109,51.717,1.043,20,11,08-03-2019
416,NOLSM5252012,3,Etching,217,1337,3638,5720,71.133,51.574,1.039,20,12,08-03-2019
417,NOLSM5262013,3,Etching,177,1323,3633,5709,70.946,51.451,1.036,20,13,08-03-2019
418,NOLSM5272014,2,Etching,193,1511,3637,5696,71.033,51.592,1.04,20,14,08-03-2019
419,NOLSM5282015,1,Etching,237,1488,3641,5691,71.137,51.717,1.043,20,15,08-03-2019
420,NOLSM5292016,1,Etching,255,1482,3641,5729,71.234,51.851,1.046,20,16,08-03-2019
421,NOLSM5302017,2,Etching,256,1482,3643,5709,71.249,51.735,1.043,20,17,08-03-2019
422,NOLSM5312018,3,Etching,151,1386,3634,5711,71.169,51.714,1.043,20,18,08-03-2019
423,NOLSM5322019,3,Etching,206,1519,3641,5725,71.153,51.744,1.044,20,19,08-03-2019
424,NOLSM5332020,2,Etching,158,1394,3637,5693,71.196,51.704,1.043,20,20,08-03-2019
425,NOLSM5342021,1,Etching,278,1446,3641,5689,71.174,51.699,1.042,20,21,08-03-2019
426,NOLSM5352022,1,Etching,381,1519,3656,5713,71.287,51.796,1.045,20,22,08-03-2019
427,NOLSM5362023,2,Etching,297,1509,3645,5708,71.17,51.694,1.042,20,23,08-03-2019
428,NOLSM5372024,3,Etching,212,1455,3639,5698,71.164,51.679,1.042,20,24,08-03-2019
429,NOLSM5382025,2,Etching,177,1377,3640,5687,71.119,51.595,1.04,20,25,08-03-2019
430,NOLSM5392026,1,Etching,190,1465,3636,5722,71.256,51.811,1.045,20,26,08-03-2019
431,NOLSM5402027,1,Etching,204,1388,3641,5728,71.402,51.834,1.046,20,27,08-03-2019
432,NOLSM1111,1,Etching,251,1606,3676,5756,70.878,50.851,1.047,1,28,17-02-2019
433,NOLSM2122,2,Etching,317,1574,3657,5680,69.561,52.283,1.051,1,29,17-02-2019
434,NOLSM3133,3,Etching,411,1321,3644,5715,70.968,51.61,1.017,1,30,17-02-2019
435,NOLSM4144,1,Etching,256,1628,3628,5737,70.146,51.286,1.027,1,31,17-02-2019
436,NOLSM5155,2,Etching,419,1598,3667,5720,71.174,51.996,1.05,1,32,17-02-2019
437,NOLSM6166,3,Etching,359,1323,3644,5707,71.709,51.931,1.012,1,33,17-02-2019
438,NOLSM7177,1,Etching,151,1389,3679,5700,71.354,51.446,1.034,1,34,17-02-2019
439,NOLSM8188,2,Etching,316,1521,3653,5737,70.761,51.053,1.022,1,35,17-02-2019
440,NOLSM9199,3,Etching,294,1425,3654,5717,71.716,51.209,1.039,1,36,17-02-2019
441,NOLSM1011010,1,Etching,466,1603,3643,5703,69.948,50.944,1.024,1,37,17-02-2019
442,NOLSM1111111,2,Etching,223,1393,3667,5688,70.61,51.473,1.048,1,38,17-02-2019
443,NOLSM1211212,3,Etching,562,1377,3664,5730,71.067,51.129,1.043,1,39,17-02-2019
444,NOLSM1311313,1,Etching,416,1597,3655,5728,69.934,51.099,1.023,1,40,17-02-2019
445,NOLSM1411414,2,Etching,365,1484,3674,5733,72.593,50.252,1.024,1,41,17-02-2019
446,NOLSM1511515,3,Etching,556,1619,3633,5744,71.754,52.645,1.038,1,42,17-02-2019
447,NOLSM1611616,1,Etching,447,1490,3664,5732,71.441,51.015,1.027,1,43,17-02-2019
448,NOLSM1711717,2,Etching,248,1576,3662,5700,71.163,50.547,1.009,1,44,17-02-2019
449,NOLSM1811818,3,Etching,417,1607,3633,5704,70.345,50.843,1.015,1,45,17-02-2019
450,NOLSM1911919,1,Etching,227,1418,3668,5701,69.832,51.609,1.011,1,46,17-02-2019
451,NOLSM2012020,2,Etching,185,1630,3637,5728,71.606,51.027,1.024,1,47,17-02-2019
452,NOLSM2112121,3,Etching,660,1511,3679,5732,71.068,50.653,1.029,1,48,17-02-2019
453,NOLSM2212222,1,Etching,394,1562,3663,5733,69.362,51.252,1.026,1,49,17-02-2019
454,NOLSM2312323,2,Etching,423,1526,3655,5688,72.506,50.769,1.044,1,50,17-02-2019
455,NOLSM2412424,3,Etching,355,1523,3661,5688,71.744,50.936,1.06,1,51,17-02-2019
456,NOLSM2512525,1,Etching,358,1437,3646,5702,71.199,51.446,1.024,1,52,17-02-2019
457,NOLSM2612626,2,Etching,210,1671,3637,5710,71.553,50.168,1.011,1,53,17-02-2019
458,NOLSM2712727,3,Etching,353,1576,3655,5704,69.65,51.216,1.053,1,54,17-02-2019
459,NOLSM541211541,1,Etching,205,1491,3641,5683,71.287,51.867,1.047,21,28,17-02-2019
460,NOLSM542212542,2,Etching,215,1406,3643,5703,71.603,52.199,1.055,21,29,17-02-2019
461,NOLSM543213543,3,Etching,174,1448,3637,5706,71.516,51.977,1.049,21,30,17-02-2019
462,NOLSM544214544,1,Etching,204,1377,3642,5696,71.361,52.042,1.051,21,31,17-02-2019
463,NOLSM545215545,2,Etching,277,1456,3639,5706,71.269,52.165,1.054,21,32,17-02-2019
464,NOLSM546216546,3,Etching,235,1420,3643,5722,71.441,50.912,1.064,21,33,17-02-2019
465,NOLSM547217547,1,Etching,204,1393,3638,5706,71.54,51.963,1.064,21,34,17-02-2019
466,NOLSM548218548,2,Etching,267,1410,3640,5690,71.313,53.272,1.056,21,35,17-02-2019
467,NOLSM549219549,3,Etching,144,1471,3640,5685,71.43,50.718,1.056,21,36,17-02-2019
468,NOLSM5502110550,1,Etching,183,1417,3637,5700,71.011,52.102,1.043,21,37,17-02-2019
469,NOLSM5512111551,2,Etching,227,1418,3639,5726,71.062,50.724,1.047,21,38,17-02-2019
470,NOLSM5522112552,3,Etching,270,1476,3643,5686,71.163,50.849,1.046,21,39,17-02-2019
471,NOLSM5532113553,1,Etching,193,1368,3634,5715,71.008,51.179,1.043,21,40,17-02-2019
472,NOLSM5542114554,2,Etching,184,1425,3633,5681,71.009,51.177,1.046,21,41,17-02-2019
473,NOLSM5552115555,3,Etching,138,1398,3633,5722,70.991,51.828,1.048,21,42,17-02-2019
474,NOLSM5562116556,1,Etching,218,1408,3635,5711,71.055,51.486,1.044,21,43,17-02-2019
475,NOLSM5572117557,2,Etching,212,1454,3637,5705,71.103,51.429,1.047,21,44,17-02-2019
476,NOLSM5582118558,3,Etching,245,1405,3636,5711,70.908,50.959,1.038,21,45,17-02-2019
477,NOLSM5592119559,1,Etching,161,1371,3633,5688,71.015,51.516,1.041,21,46,17-02-2019
478,NOLSM5602120560,2,Etching,211,1384,3635,5691,70.996,51.48,1.037,21,47,17-02-2019
479,NOLSM5612121561,3,Etching,193,1413,3634,5683,70.978,51.567,1.039,21,48,17-02-2019
480,NOLSM5622122562,1,Etching,274,1409,3644,5689,70.997,51.454,1.036,21,49,17-02-2019
481,NOLSM5632123563,2,Etching,233,1466,3645,5721,70.998,51.395,1.035,21,50,17-02-2019
482,NOLSM5642124564,3,Etching,243,1394,3639,5694,70.998,51.442,1.036,21,51,17-02-2019
483,NOLSM5652125565,1,Etching,184,1420,3635,5722,71.014,51.3,1.032,21,52,17-02-2019
484,NOLSM5662126566,2,Etching,219,1519,3643,5723,71.084,51.438,1.036,21,53,17-02-2019
485,NOLSM5672127567,3,Etching,217,1382,3641,5726,71.073,51.277,1.032,21,54,17-02-2019
486,NOLSM111,3,Etching,251,1606,3676,5756,70.878,50.851,1.047,1,1,17-02-2019
487,NOLSM212,2,Etching,317,1574,3657,5680,69.561,52.283,1.051,1,2,17-02-2019
488,NOLSM313,1,Etching,411,1321,3644,5715,70.968,51.61,1.017,1,3,17-02-2019
489,NOLSM414,1,Etching,256,1628,3628,5737,70.146,51.286,1.027,1,4,17-02-2019
490,NOLSM515,2,Etching,419,1598,3667,5720,71.174,51.996,1.05,1,5,17-02-2019
491,NOLSM616,3,Etching,359,1323,3644,5707,71.709,51.931,1.012,1,6,17-02-2019
492,NOLSM717,2,Etching,151,1389,3679,5700,71.354,51.446,1.034,1,7,17-02-2019
493,NOLSM818,1,Etching,316,1521,3653,5737,70.761,51.053,1.022,1,8,17-02-2019
494,NOLSM919,1,Etching,294,1425,3654,5717,71.716,51.209,1.039,1,9,17-02-2019
495,NOLSM10110,2,Etching,466,1603,3643,5703,69.948,50.944,1.024,1,10,17-02-2019
496,NOLSM11111,3,Etching,223,1393,3667,5688,70.61,51.473,1.048,1,11,17-02-2019
497,NOLSM12112,3,Etching,562,1377,3664,5730,71.067,51.129,1.043,1,12,17-02-2019
498,NOLSM13113,2,Etching,416,1597,3655,5728,69.934,51.099,1.023,1,13,17-02-2019
499,NOLSM14114,1,Etching,365,1484,3674,5733,72.593,50.252,1.024,1,14,17-02-2019
500,NOLSM15115,1,Etching,556,1619,3633,5744,71.754,52.645,1.038,1,15,17-02-2019
501,NOLSM16116,2,Etching,447,1490,3664,5732,71.441,51.015,1.027,1,16,17-02-2019
502,NOLSM17117,3,Etching,248,1576,3662,5700,71.163,50.547,1.009,1,17,17-02-2019
503,NOLSM18118,3,Etching,417,1607,3633,5704,70.345,50.843,1.015,1,18,17-02-2019
504,NOLSM19119,2,Etching,227,1418,3668,5701,69.832,51.609,1.011,1,19,17-02-2019
505,NOLSM20120,1,Etching,185,1630,3637,5728,71.606,51.027,1.024,1,20,17-02-2019
506,NOLSM21121,1,Etching,660,1511,3679,5732,71.068,50.653,1.029,1,21,17-02-2019
507,NOLSM22122,2,Etching,394,1562,3663,5733,69.362,51.252,1.026,1,22,17-02-2019
508,NOLSM23123,3,Etching,423,1526,3655,5688,72.506,50.769,1.044,1,23,17-02-2019
509,NOLSM24124,3,Etching,355,1523,3661,5688,71.744,50.936,1.06,1,24,17-02-2019
510,NOLSM25125,2,Etching,358,1437,3646,5702,71.199,51.446,1.024,1,25,17-02-2019
511,NOLSM26126,1,Etching,210,1671,3637,5710,71.553,50.168,1.011,1,26,17-02-2019
512,NOLSM27127,1,Etching,353,1576,3655,5704,69.65,51.216,1.053,1,27,17-02-2019
513,NOLSM541211,2,Etching,205,1491,3641,5683,71.287,51.867,1.047,21,1,17-02-2019
514,NOLSM542212,3,Etching,215,1406,3643,5703,71.603,52.199,1.055,21,2,17-02-2019
515,NOLSM543213,3,Etching,174,1448,3637,5706,71.516,51.977,1.049,21,3,17-02-2019
516,NOLSM544214,2,Etching,204,1377,3642,5696,71.361,52.042,1.051,21,4,17-02-2019
517,NOLSM545215,1,Etching,277,1456,3639,5706,71.269,52.165,1.054,21,5,17-02-2019
518,NOLSM546216,1,Etching,235,1420,3643,5722,71.441,52.573,1.064,21,6,17-02-2019
519,NOLSM547217,2,Etching,204,1393,3638,5706,71.54,52.562,1.064,21,7,17-02-2019
520,NOLSM548218,3,Etching,267,1410,3640,5690,71.313,52.23,1.056,21,8,17-02-2019
521,NOLSM549219,3,Etching,144,1471,3640,5685,71.43,52.225,1.056,21,9,17-02-2019
522,NOLSM5502110,2,Etching,183,1417,3637,5700,71.011,51.705,1.043,21,10,17-02-2019
523,NOLSM5512111,1,Etching,227,1418,3639,5726,71.062,51.891,1.047,21,11,17-02-2019
524,NOLSM5522112,1,Etching,270,1476,3643,5686,71.163,51.853,1.046,21,12,17-02-2019
525,NOLSM5532113,3,Etching,193,1368,3634,5715,71.008,51.72,1.043,21,13,17-02-2019
526,NOLSM5542114,3,Etching,184,1425,3633,5681,71.009,51.837,1.046,21,14,17-02-2019
527,NOLSM5552115,2,Etching,138,1398,3633,5722,70.991,51.915,1.048,21,15,17-02-2019
528,NOLSM5562116,1,Etching,218,1408,3635,5711,71.055,51.75,1.044,21,16,17-02-2019
529,NOLSM5572117,1,Etching,212,1454,3637,5705,71.103,51.863,1.047,21,17,17-02-2019
530,NOLSM5582118,2,Etching,245,1405,3636,5711,70.908,51.506,1.038,21,18,17-02-2019
531,NOLSM5592119,3,Etching,161,1371,3633,5688,71.015,51.631,1.041,21,19,17-02-2019
532,NOLSM5602120,2,Etching,211,1384,3635,5691,70.996,51.48,1.037,21,20,17-02-2019
533,NOLSM5612121,1,Etching,193,1413,3634,5683,70.978,51.567,1.039,21,21,17-02-2019
534,NOLSM5622122,1,Etching,274,1409,3644,5689,70.997,51.454,1.036,21,22,17-02-2019
535,NOLSM5632123,2,Etching,233,1466,3645,5721,70.998,51.395,1.035,21,23,17-02-2019
536,NOLSM5642124,3,Etching,243,1394,3639,5694,70.998,51.442,1.036,21,24,17-02-2019
537,NOLSM5652125,3,Etching,184,1420,3635,5698,71.014,51.3,1.032,21,25,17-02-2019
538,NOLSM5662126,2,Etching,219,1519,3643,5723,71.084,51.438,1.036,21,26,17-02-2019
539,NOLSM5672127,1,Etching,217,1382,3641,5726,71.073,51.277,1.032,21,27,17-02-2019
540,NOLSM282128,1,Etching,402,1399,3648,5735,70.341,51.052,1.06,2,28,18-02-2019
541,NOLSM292229,2,Etching,288,1457,3669,5712,71.972,52.479,1.042,2,29,18-02-2019
