No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM4831824,1,photo_li,43.236,G,436,559.819,109.34,18,24,06-03-2019
NOLSM4841825,2,photo_li,35.818,G,436,560.269,109.205,18,25,06-03-2019
NOLSM4851826,3,photo_li,34.683,G,436,552.795,109.331,18,26,06-03-2019
NOLSM4861827,1,photo_li,45.552,G,436,552.984,109.671,18,27,06-03-2019
NOLSM487191487,1,photo_li,38.42,G,436,552.143,109.603,19,28,07-03-2019
NOLSM488192488,1,photo_li,40.362,G,436,554.379,109.975,19,29,07-03-2019
NOLSM489193489,1,photo_li,49.535,G,436,539.611,110.531,19,30,07-03-2019
NOLSM490194490,1,photo_li,48.873,G,436,543.765,110.704,19,31,07-03-2019
NOLSM491195491,1,photo_li,38.145,G,436,557.198,109.671,19,32,07-03-2019
NOLSM492196492,1,photo_li,40.408,G,436,559.368,109.111,19,33,07-03-2019
NOLSM493197493,1,photo_li,24.251,G,436,551.846,108.36,19,34,07-03-2019
NOLSM494198494,1,photo_li,30.525,G,436,551.722,108.611,19,35,07-03-2019
NOLSM495199495,1,photo_li,36.502,G,436,553.742,108.924,19,36,07-03-2019
NOLSM4961910496,2,photo_li,24.124,G,436,553.393,108.303,19,37,07-03-2019
NOLSM4971911497,2,photo_li,29.507,G,436,555.049,108.042,19,38,07-03-2019
NOLSM4981912498,2,photo_li,37.901,G,436,558.813,108.924,19,39,07-03-2019
NOLSM4991913499,2,photo_li,34.094,G,436,554.717,109.182,19,40,07-03-2019
NOLSM5001914500,2,photo_li,29.246,G,436,549.091,108.335,19,41,07-03-2019
NOLSM5011915501,2,photo_li,43.378,G,436,553.48,109.471,19,42,07-03-2019
NOLSM5021916502,2,photo_li,42.33,G,436,553.143,109.929,19,43,07-03-2019
NOLSM5031917503,2,photo_li,38.55,G,436,555.78,109.747,19,44,07-03-2019
NOLSM5041918504,2,photo_li,39.991,G,436,558.537,109.093,19,45,07-03-2019
NOLSM5051919505,3,photo_li,19.408,G,436,550.221,107.745,19,46,07-03-2019
NOLSM5061920506,3,photo_li,28.894,G,436,546.867,108.327,19,47,07-03-2019
NOLSM5071921507,3,photo_li,39.421,G,436,553.719,109.144,19,48,07-03-2019
NOLSM5081922508,3,photo_li,19.43,G,436,553.769,107.464,19,49,07-03-2019
NOLSM5091923509,3,photo_li,28.585,G,436,548.822,108.066,19,50,07-03-2019
NOLSM5101924510,3,photo_li,25.438,G,436,552.475,108.465,19,51,07-03-2019
NOLSM5111925511,3,photo_li,32.084,G,436,544.71,109.136,19,52,07-03-2019
NOLSM5121926512,3,photo_li,14.799,G,436,546.757,107.732,19,53,07-03-2019
NOLSM5131927513,3,photo_li,17.83,G,436,550.156,107.203,19,54,07-03-2019
NOLSM487191,2,photo_li,38.42,G,436,552.143,109.603,19,1,07-03-2019
NOLSM488192,3,photo_li,40.362,G,436,554.379,109.975,19,2,07-03-2019
NOLSM489193,1,photo_li,49.535,G,436,539.611,110.531,19,3,07-03-2019
NOLSM490194,2,photo_li,48.873,G,436,543.765,110.704,19,4,07-03-2019
NOLSM491195,3,photo_li,38.145,G,436,557.198,109.671,19,5,07-03-2019
NOLSM492196,1,photo_li,40.408,G,436,559.368,109.111,19,6,07-03-2019
NOLSM493197,2,photo_li,24.251,G,436,551.846,108.36,19,7,07-03-2019
NOLSM494198,3,photo_li,30.525,G,436,551.722,108.611,19,8,07-03-2019
NOLSM495199,1,photo_li,36.502,G,436,553.742,108.924,19,9,07-03-2019
NOLSM4961910,2,photo_li,24.124,G,436,553.393,108.303,19,10,07-03-2019
NOLSM4971911,3,photo_li,29.507,G,436,555.049,108.042,19,11,07-03-2019
NOLSM4981912,1,photo_li,37.901,G,436,558.813,108.924,19,12,07-03-2019
NOLSM4991913,2,photo_li,34.094,G,436,554.717,109.182,19,13,07-03-2019
NOLSM5001914,3,photo_li,29.246,G,436,549.091,108.335,19,14,07-03-2019
NOLSM5011915,1,photo_li,43.378,G,436,553.48,109.471,19,15,07-03-2019
NOLSM5021916,2,photo_li,42.33,G,436,553.143,109.929,19,16,07-03-2019
NOLSM5031917,3,photo_li,38.55,G,436,555.78,109.747,19,17,07-03-2019
NOLSM5041918,1,photo_li,39.991,G,436,558.537,109.093,19,18,07-03-2019
NOLSM5051919,2,photo_li,19.408,G,436,550.221,107.745,19,19,07-03-2019
NOLSM5061920,3,photo_li,28.894,G,436,546.867,108.327,19,20,07-03-2019
NOLSM5071921,1,photo_li,39.421,G,436,553.719,109.144,19,21,07-03-2019
NOLSM5081922,2,photo_li,19.43,G,436,553.769,107.464,19,22,07-03-2019
NOLSM5091923,3,photo_li,28.585,G,436,548.822,108.066,19,23,07-03-2019
NOLSM5101924,2,photo_li,25.438,G,436,552.475,108.465,19,24,07-03-2019
NOLSM5111925,3,photo_li,32.084,G,436,544.71,109.136,19,25,07-03-2019
NOLSM5121926,1,photo_li,14.799,G,436,546.757,107.732,19,26,07-03-2019
NOLSM5131927,2,photo_li,17.83,G,436,550.156,107.203,19,27,07-03-2019
NOLSM514201514,1,photo_li,30.393,G,436,565.422,106.942,20,28,08-03-2019
NOLSM515202515,1,photo_li,23.104,G,436,562.43,107.824,20,29,08-03-2019
NOLSM516203516,1,photo_li,16.981,G,436,547.869,107.096,20,30,08-03-2019
NOLSM517204517,1,photo_li,32.751,G,436,549.126,109.133,20,31,08-03-2019
NOLSM518205518,1,photo_li,30.79,G,436,552.745,108.555,20,32,08-03-2019
NOLSM519206519,1,photo_li,25.231,G,436,549.41,108.518,20,33,08-03-2019
NOLSM520207520,1,photo_li,31.899,G,436,562.959,108.407,20,34,08-03-2019
NOLSM521208521,1,photo_li,28.066,G,436,543.316,108.888,20,35,08-03-2019
NOLSM522209522,1,photo_li,29.83,G,436,548.989,108.531,20,36,08-03-2019
NOLSM5232010523,2,photo_li,38.256,G,436,542.454,109.373,20,37,08-03-2019
NOLSM5242011524,2,photo_li,32.194,G,436,546.144,109.183,20,38,08-03-2019
NOLSM5252012525,2,photo_li,30.328,G,436,560.847,107.964,20,39,08-03-2019
NOLSM5262013526,2,photo_li,37.438,G,436,551.252,109.051,20,40,08-03-2019
NOLSM5272014527,2,photo_li,32.18,G,436,547.369,109.161,20,41,08-03-2019
NOLSM5282015528,2,photo_li,35.603,G,436,546.557,109.587,20,42,08-03-2019
NOLSM5292016529,2,photo_li,46.454,G,436,553.258,109.746,20,43,08-03-2019
NOLSM5302017530,2,photo_li,34.835,G,436,547.627,109.378,20,44,08-03-2019
NOLSM5312018531,2,photo_li,34.207,G,436,547.84,109.377,20,45,08-03-2019
NOLSM5322019532,3,photo_li,42.31,G,436,557.006,109.311,20,46,08-03-2019
NOLSM5332020533,3,photo_li,32.788,G,436,542.295,109.295,20,47,08-03-2019
NOLSM5342021534,3,photo_li,36.083,G,436,543.142,109.724,20,48,08-03-2019
NOLSM5352022535,3,photo_li,36.508,G,436,545.692,109.136,20,49,08-03-2019
NOLSM5362023536,3,photo_li,36.34,G,436,556.01,109.347,20,50,08-03-2019
NOLSM5372024537,3,photo_li,30.242,G,436,548.256,108.67,20,51,08-03-2019
NOLSM5382025538,3,photo_li,33.182,G,436,548.616,109.223,20,52,08-03-2019
NOLSM5392026539,3,photo_li,37.54,G,436,544.81,109.858,20,53,08-03-2019
NOLSM5402027540,3,photo_li,43.585,G,436,543.356,109.779,20,54,08-03-2019
NOLSM514201,3,photo_li,30.393,G,436,565.422,106.942,20,1,08-03-2019
NOLSM515202,1,photo_li,23.104,G,436,562.43,107.824,20,2,08-03-2019
NOLSM516203,2,photo_li,16.981,G,436,547.869,107.096,20,3,08-03-2019
NOLSM517204,3,photo_li,32.751,G,436,549.126,109.133,20,4,08-03-2019
NOLSM518205,1,photo_li,30.79,G,436,552.745,108.555,20,5,08-03-2019
NOLSM519206,2,photo_li,25.231,G,436,549.41,108.518,20,6,08-03-2019
NOLSM520207,1,photo_li,31.899,G,436,562.959,108.407,20,7,08-03-2019
NOLSM521208,2,photo_li,28.066,G,436,543.316,108.888,20,8,08-03-2019
NOLSM522209,3,photo_li,29.83,G,436,548.989,108.531,20,9,08-03-2019
NOLSM5232010,1,photo_li,38.256,G,436,542.454,109.373,20,10,08-03-2019
NOLSM5242011,2,photo_li,32.194,G,436,546.144,109.183,20,11,08-03-2019
NOLSM5252012,3,photo_li,30.328,G,436,560.847,107.964,20,12,08-03-2019
NOLSM5262013,1,photo_li,37.438,G,436,551.252,109.051,20,13,08-03-2019
NOLSM5272014,2,photo_li,32.18,G,436,547.369,109.161,20,14,08-03-2019
NOLSM5282015,3,photo_li,35.603,G,436,546.557,109.587,20,15,08-03-2019
NOLSM5292016,1,photo_li,46.454,G,436,553.258,109.746,20,16,08-03-2019
NOLSM5302017,2,photo_li,34.835,G,436,547.627,109.378,20,17,08-03-2019
NOLSM5312018,3,photo_li,34.207,G,436,547.84,109.377,20,18,08-03-2019
NOLSM5322019,1,photo_li,42.31,G,436,557.006,109.311,20,19,08-03-2019
NOLSM5332020,2,photo_li,32.788,G,436,542.295,109.295,20,20,08-03-2019
NOLSM5342021,3,photo_li,36.083,G,436,543.142,109.724,20,21,08-03-2019
NOLSM5352022,1,photo_li,36.508,G,436,545.692,109.136,20,22,08-03-2019
NOLSM5362023,2,photo_li,36.34,G,436,556.01,109.347,20,23,08-03-2019
NOLSM5372024,3,photo_li,30.242,G,436,548.256,108.67,20,24,08-03-2019
NOLSM5382025,2,photo_li,33.182,G,436,548.616,109.223,20,25,08-03-2019
NOLSM5392026,3,photo_li,37.54,G,436,544.81,109.858,20,26,08-03-2019
NOLSM5402027,1,photo_li,43.585,G,436,543.356,109.779,20,27,08-03-2019
NOLSM1111,1,photo_li,30.959,H,405,516.657,109.769,1,28,17-02-2019
NOLSM2122,1,photo_li,29.653,H,405,501.894,107.102,1,29,17-02-2019
NOLSM3133,1,photo_li,28.063,I,365,506.75,110.471,1,30,17-02-2019
NOLSM4144,1,photo_li,31.556,I,365,537.603,107.072,1,31,17-02-2019
NOLSM5155,1,photo_li,31.969,I,365,560.574,108.073,1,32,17-02-2019
NOLSM6166,1,photo_li,51.096,H,405,500.892,106.951,1,33,17-02-2019
NOLSM7177,1,photo_li,24.552,I,365,516.947,108.505,1,34,17-02-2019
NOLSM8188,1,photo_li,33.839,G,436,492.095,106.183,1,35,17-02-2019
NOLSM9199,1,photo_li,61.905,H,405,506.182,108.96,1,36,17-02-2019
NOLSM1011010,2,photo_li,41.35,H,405,499.553,109.605,1,37,17-02-2019
NOLSM1111111,2,photo_li,54.613,G,436,525.22,107.543,1,38,17-02-2019
NOLSM1211212,2,photo_li,31.272,G,436,488.636,111.101,1,39,17-02-2019
NOLSM1311313,2,photo_li,23.663,H,405,478.444,107.19,1,40,17-02-2019
NOLSM1411414,2,photo_li,27.333,G,436,516.803,110.24,1,41,17-02-2019
NOLSM1511515,2,photo_li,16.467,H,405,529.182,109.976,1,42,17-02-2019
NOLSM1611616,2,photo_li,43.554,H,405,472.687,110.358,1,43,17-02-2019
NOLSM1711717,2,photo_li,41.893,I,365,561.777,107.42,1,44,17-02-2019
NOLSM1811818,2,photo_li,30.437,I,365,523.658,108.685,1,45,17-02-2019
NOLSM1911919,3,photo_li,61.431,H,405,514.519,106.424,1,46,17-02-2019
NOLSM2012020,3,photo_li,47.652,H,405,534.147,109.963,1,47,17-02-2019
NOLSM2112121,3,photo_li,28.492,I,365,499.558,109.557,1,48,17-02-2019
NOLSM2212222,3,photo_li,38.292,G,436,537.389,107.999,1,49,17-02-2019
NOLSM2312323,3,photo_li,52.821,I,365,532.275,109.351,1,50,17-02-2019
NOLSM2412424,3,photo_li,37.522,H,405,514.823,108.116,1,51,17-02-2019
NOLSM2512525,3,photo_li,27.664,G,436,494.166,111.283,1,52,17-02-2019
NOLSM2612626,3,photo_li,49.36,G,436,533.105,106.293,1,53,17-02-2019
NOLSM2712727,3,photo_li,40.752,G,436,518.976,109.532,1,54,17-02-2019
NOLSM541211541,1,photo_li,47.83,G,436,548.32,110.53,21,28,17-02-2019
NOLSM542212542,1,photo_li,37.494,G,436,541.911,109.924,21,29,17-02-2019
NOLSM543213543,1,photo_li,45.14,G,436,542.695,109.945,21,30,17-02-2019
NOLSM544214544,1,photo_li,39.937,G,436,547.454,109.814,21,31,17-02-2019
NOLSM545215545,1,photo_li,45.357,G,436,532.047,111.247,21,32,17-02-2019
NOLSM546216546,1,photo_li,54.056,G,436,537.644,111.176,21,33,17-02-2019
NOLSM547217547,1,photo_li,42.706,G,436,542.278,110.133,21,34,17-02-2019
NOLSM548218548,1,photo_li,48.753,G,436,546.736,111.052,21,35,17-02-2019
NOLSM549219549,1,photo_li,31.512,G,436,544.737,108.828,21,36,17-02-2019
NOLSM5502110550,2,photo_li,39.583,G,436,547.376,109.784,21,37,17-02-2019
NOLSM5512111551,2,photo_li,34.607,G,436,543.418,109.532,21,38,17-02-2019
NOLSM5522112552,2,photo_li,36.939,G,436,545.707,109.167,21,39,17-02-2019
NOLSM5532113553,2,photo_li,32.311,G,436,542.1,109.241,21,40,17-02-2019
NOLSM5542114554,2,photo_li,40.276,G,436,544.474,109.461,21,41,17-02-2019
NOLSM5552115555,2,photo_li,30.716,G,436,540.64,109.151,21,42,17-02-2019
NOLSM5562116556,2,photo_li,37.029,G,436,539.235,109.942,21,43,17-02-2019
NOLSM5572117557,2,photo_li,30.263,G,436,470.396,108.49,21,44,17-02-2019
NOLSM5582118558,2,photo_li,29.346,G,436,473.291,108.904,21,45,17-02-2019
NOLSM5592119559,3,photo_li,30.558,G,436,479.286,108.869,21,46,17-02-2019
NOLSM5602120560,3,photo_li,30.501,G,436,472.217,108.776,21,47,17-02-2019
NOLSM5612121561,3,photo_li,31.024,G,436,473.417,108.708,21,48,17-02-2019
NOLSM5622122562,3,photo_li,22.161,G,436,482.215,108.235,21,49,17-02-2019
NOLSM5632123563,3,photo_li,26.662,G,436,469.93,108.609,21,50,17-02-2019
NOLSM5642124564,3,photo_li,30.218,G,436,480.764,108.305,21,51,17-02-2019
NOLSM5652125565,3,photo_li,31.786,G,436,471.539,108.66,21,52,17-02-2019
NOLSM5662126566,3,photo_li,25.02,G,436,469.44,108.473,21,53,17-02-2019
NOLSM5672127567,3,photo_li,34.196,G,436,472.467,108.962,21,54,17-02-2019
NOLSM111,1,photo_li,30.959,H,405,516.657,109.769,1,1,17-02-2019
NOLSM212,2,photo_li,29.653,H,405,501.894,107.102,1,2,17-02-2019
NOLSM313,3,photo_li,28.063,I,365,506.75,110.471,1,3,17-02-2019
NOLSM414,1,photo_li,31.556,I,365,537.603,107.072,1,4,17-02-2019
NOLSM515,2,photo_li,31.969,I,365,560.574,108.073,1,5,17-02-2019
NOLSM616,3,photo_li,51.096,H,405,500.892,106.951,1,6,17-02-2019
NOLSM717,2,photo_li,24.552,I,365,516.947,108.505,1,7,17-02-2019
NOLSM818,3,photo_li,33.839,G,436,492.095,106.183,1,8,17-02-2019
NOLSM919,1,photo_li,61.905,H,405,506.182,108.96,1,9,17-02-2019
NOLSM10110,2,photo_li,41.35,H,405,499.553,109.605,1,10,17-02-2019
NOLSM11111,3,photo_li,54.613,G,436,525.22,107.543,1,11,17-02-2019
NOLSM12112,1,photo_li,31.272,G,436,488.636,111.101,1,12,17-02-2019
NOLSM13113,2,photo_li,23.663,H,405,478.444,107.19,1,13,17-02-2019
NOLSM14114,3,photo_li,27.333,G,436,516.803,110.24,1,14,17-02-2019
NOLSM15115,1,photo_li,16.467,H,405,529.182,109.976,1,15,17-02-2019
NOLSM16116,2,photo_li,43.554,H,405,472.687,110.358,1,16,17-02-2019
NOLSM17117,3,photo_li,41.893,I,365,561.777,107.42,1,17,17-02-2019
NOLSM18118,1,photo_li,30.437,I,365,523.658,108.685,1,18,17-02-2019
NOLSM19119,2,photo_li,61.431,H,405,514.519,106.424,1,19,17-02-2019
NOLSM20120,3,photo_li,47.652,H,405,534.147,109.963,1,20,17-02-2019
NOLSM21121,1,photo_li,28.492,I,365,499.558,109.557,1,21,17-02-2019
NOLSM22122,2,photo_li,38.292,G,436,537.389,107.999,1,22,17-02-2019
NOLSM23123,3,photo_li,52.821,I,365,532.275,109.351,1,23,17-02-2019
NOLSM24124,1,photo_li,37.522,H,405,514.823,108.116,1,24,17-02-2019
NOLSM25125,2,photo_li,27.664,G,436,494.166,111.283,1,25,17-02-2019
NOLSM26126,3,photo_li,49.36,G,436,533.105,106.293,1,26,17-02-2019
NOLSM27127,1,photo_li,40.752,G,436,518.976,109.532,1,27,17-02-2019
NOLSM541211,2,photo_li,47.83,G,436,548.32,110.53,21,1,17-02-2019
NOLSM542212,3,photo_li,37.494,G,436,541.911,109.924,21,2,17-02-2019
NOLSM543213,1,photo_li,45.14,G,436,542.695,109.945,21,3,17-02-2019
NOLSM544214,2,photo_li,39.937,G,436,547.454,109.814,21,4,17-02-2019
NOLSM545215,3,photo_li,45.357,G,436,532.047,111.247,21,5,17-02-2019
NOLSM546216,1,photo_li,54.056,G,436,537.644,111.176,21,6,17-02-2019
NOLSM547217,2,photo_li,42.706,G,436,542.278,110.133,21,7,17-02-2019
NOLSM548218,3,photo_li,48.753,G,436,546.736,111.052,21,8,17-02-2019
NOLSM549219,1,photo_li,31.512,G,436,544.737,108.828,21,9,17-02-2019
NOLSM5502110,2,photo_li,39.583,G,436,547.376,109.784,21,10,17-02-2019
NOLSM5512111,3,photo_li,34.607,G,436,543.418,109.532,21,11,17-02-2019
NOLSM5522112,1,photo_li,36.939,G,436,545.707,109.167,21,12,17-02-2019
NOLSM5532113,3,photo_li,32.311,G,436,542.1,109.241,21,13,17-02-2019
NOLSM5542114,1,photo_li,40.276,G,436,544.474,109.461,21,14,17-02-2019
NOLSM5552115,2,photo_li,30.716,G,436,540.64,109.151,21,15,17-02-2019
NOLSM5562116,3,photo_li,37.029,G,436,539.235,109.942,21,16,17-02-2019
NOLSM5572117,1,photo_li,30.263,G,436,554.023,108.49,21,17,17-02-2019
NOLSM5582118,2,photo_li,29.346,G,436,548.455,108.904,21,18,17-02-2019
NOLSM5592119,3,photo_li,30.558,G,436,544.367,108.869,21,19,17-02-2019
NOLSM5602120,2,photo_li,30.501,G,436,558.871,108.776,21,20,17-02-2019
NOLSM5612121,3,photo_li,31.024,G,436,552.429,108.708,21,21,17-02-2019
NOLSM5622122,1,photo_li,22.161,G,436,546.001,108.235,21,22,17-02-2019
NOLSM5632123,2,photo_li,26.662,G,436,551.305,108.609,21,23,17-02-2019
NOLSM5642124,3,photo_li,30.218,G,436,555.997,108.305,21,24,17-02-2019
NOLSM5652125,1,photo_li,31.786,G,436,551.176,108.66,21,25,17-02-2019
NOLSM5662126,2,photo_li,25.02,G,436,550.435,108.473,21,26,17-02-2019
NOLSM5672127,3,photo_li,34.196,G,436,563.401,108.962,21,27,17-02-2019
NOLSM282128,1,photo_li,43.579,H,405,472.853,106.798,2,28,18-02-2019
NOLSM292229,1,photo_li,44.797,G,436,534.455,109.373,2,29,18-02-2019
NOLSM302330,1,photo_li,42.474,G,436,541.607,107.068,2,30,18-02-2019
NOLSM312431,1,photo_li,46.074,H,405,542.378,107.179,2,31,18-02-2019
NOLSM322532,1,photo_li,63.17,H,405,510.897,108.38,2,32,18-02-2019
NOLSM332633,1,photo_li,34.847,H,405,518.154,106.26,2,33,18-02-2019
NOLSM342734,1,photo_li,34.181,H,405,541.412,111.001,2,34,18-02-2019
NOLSM352835,1,photo_li,24.236,G,436,520.185,107.77,2,35,18-02-2019
NOLSM362936,1,photo_li,64.634,I,365,495.864,108.077,2,36,18-02-2019
NOLSM3721037,2,photo_li,34.175,G,436,546.682,108.891,2,37,18-02-2019
NOLSM3821138,2,photo_li,43.434,G,436,501.061,106.848,2,38,18-02-2019
NOLSM3921239,2,photo_li,43.808,H,405,539.401,108.757,2,39,18-02-2019
NOLSM4021340,2,photo_li,50.402,H,405,503.268,107.918,2,40,18-02-2019
NOLSM4121441,2,photo_li,59.605,G,436,550.733,107.356,2,41,18-02-2019
NOLSM4221542,2,photo_li,50.867,G,436,509.452,107.074,2,42,18-02-2019
NOLSM4321643,2,photo_li,30.188,I,365,536.552,109.892,2,43,18-02-2019
NOLSM4421744,2,photo_li,51.146,G,436,516.135,108.357,2,44,18-02-2019
NOLSM4521845,2,photo_li,51.079,G,436,540.772,108.067,2,45,18-02-2019
NOLSM4621946,3,photo_li,34.118,G,436,556.889,107.878,2,46,18-02-2019
NOLSM4722047,3,photo_li,29.099,G,436,533.306,108.546,2,47,18-02-2019
NOLSM4822148,3,photo_li,58.236,H,405,518.361,109.099,2,48,18-02-2019
NOLSM4922249,3,photo_li,50.242,H,405,511.164,107.421,2,49,18-02-2019
NOLSM5022350,3,photo_li,48.317,G,436,534.801,108.139,2,50,18-02-2019
NOLSM5122451,3,photo_li,47.379,I,365,500.101,108.25,2,51,18-02-2019
NOLSM5222552,3,photo_li,49.091,G,436,511.047,109.34,2,52,18-02-2019
NOLSM5322653,3,photo_li,41.355,I,365,522.118,108.789,2,53,18-02-2019
NOLSM5422754,3,photo_li,46.285,G,436,499.689,107.465,2,54,18-02-2019
NOLSM568221568,1,photo_li,30.232,G,436,470.478,108.441,22,28,18-02-2019
NOLSM569222569,1,photo_li,26.925,G,436,460.719,108.71,22,29,18-02-2019
NOLSM570223570,1,photo_li,31.411,G,436,472.83,108.854,22,30,18-02-2019
NOLSM571224571,1,photo_li,37.292,G,436,474.027,108.995,22,31,18-02-2019
NOLSM572225572,1,photo_li,30.239,G,436,472.243,108.878,22,32,18-02-2019
NOLSM573226573,1,photo_li,32.761,G,436,472.83,108.876,22,33,18-02-2019
NOLSM574227574,1,photo_li,17.203,G,436,477.914,108.302,22,34,18-02-2019
NOLSM575228575,1,photo_li,28.684,G,436,470.446,108.795,22,35,18-02-2019
NOLSM576229576,1,photo_li,29.181,G,436,468.93,108.185,22,36,18-02-2019
NOLSM5772210577,2,photo_li,26.682,G,436,469.586,108.257,22,37,18-02-2019
NOLSM5782211578,2,photo_li,33.873,G,436,476.399,109.303,22,38,18-02-2019
NOLSM5792212579,2,photo_li,29.884,G,436,476.997,108.556,22,39,18-02-2019
NOLSM5802213580,2,photo_li,19.704,G,436,552.565,107.864,22,40,18-02-2019
NOLSM5812214581,2,photo_li,21.393,G,436,557.195,107.739,22,41,18-02-2019
NOLSM5822215582,2,photo_li,28.17,G,436,548.946,107.813,22,42,18-02-2019
NOLSM5832216583,2,photo_li,40.534,G,436,551.142,109.291,22,43,18-02-2019
NOLSM5842217584,2,photo_li,25.47,G,436,548.765,108.555,22,44,18-02-2019
NOLSM5852218585,2,photo_li,29.089,G,436,549.782,108.233,22,45,18-02-2019
NOLSM5862219586,3,photo_li,32.562,G,436,555.955,108.597,22,46,18-02-2019
NOLSM5872220587,3,photo_li,24.515,G,436,545.424,108.536,22,47,18-02-2019
NOLSM5882221588,3,photo_li,31.187,G,436,565.117,108.029,22,48,18-02-2019
NOLSM5892222589,3,photo_li,23.719,G,436,559.336,108.042,22,49,18-02-2019
NOLSM5902223590,3,photo_li,28.795,G,436,551.584,107.943,22,50,18-02-2019
NOLSM5912224591,3,photo_li,29.508,G,436,555.3,108.411,22,51,18-02-2019
NOLSM5922225592,3,photo_li,25.944,G,436,559.348,108.321,22,52,18-02-2019
NOLSM5932226593,3,photo_li,29.002,G,436,553.441,107.886,22,53,18-02-2019
NOLSM5942227594,3,photo_li,20.288,G,436,552.481,107.906,22,54,18-02-2019
NOLSM2821,2,photo_li,43.579,H,405,472.853,106.798,2,1,18-02-2019
NOLSM2922,3,photo_li,44.797,G,436,534.455,109.373,2,2,18-02-2019
NOLSM3023,1,photo_li,42.474,G,436,541.607,107.068,2,3,18-02-2019
NOLSM3124,3,photo_li,46.074,H,405,542.378,107.179,2,4,18-02-2019
NOLSM3225,1,photo_li,63.17,H,405,510.897,108.38,2,5,18-02-2019
NOLSM3326,3,photo_li,34.847,H,405,518.154,106.26,2,6,18-02-2019
NOLSM3427,1,photo_li,34.181,H,405,541.412,111.001,2,7,18-02-2019
NOLSM3528,2,photo_li,24.236,G,436,520.185,107.77,2,8,18-02-2019
NOLSM3629,3,photo_li,64.634,I,365,495.864,108.077,2,9,18-02-2019
NOLSM37210,1,photo_li,34.175,G,436,546.682,108.891,2,10,18-02-2019
NOLSM38211,2,photo_li,43.434,G,436,501.061,106.848,2,11,18-02-2019
NOLSM39212,3,photo_li,43.808,H,405,539.401,108.757,2,12,18-02-2019
NOLSM40213,1,photo_li,50.402,H,405,503.268,107.918,2,13,18-02-2019
NOLSM41214,2,photo_li,59.605,G,436,550.733,107.356,2,14,18-02-2019
NOLSM42215,3,photo_li,50.867,G,436,509.452,107.074,2,15,18-02-2019
NOLSM43216,1,photo_li,30.188,I,365,536.552,109.892,2,16,18-02-2019
NOLSM44217,2,photo_li,51.146,G,436,516.135,108.357,2,17,18-02-2019
NOLSM45218,3,photo_li,51.079,G,436,540.772,108.067,2,18,18-02-2019
NOLSM46219,1,photo_li,34.118,G,436,556.889,107.878,2,19,18-02-2019
NOLSM47220,2,photo_li,29.099,G,436,533.306,108.546,2,20,18-02-2019
NOLSM48221,3,photo_li,58.236,H,405,518.361,109.099,2,21,18-02-2019
NOLSM49222,1,photo_li,50.242,H,405,511.164,107.421,2,22,18-02-2019
NOLSM50223,2,photo_li,48.317,G,436,534.801,108.139,2,23,18-02-2019
NOLSM51224,3,photo_li,47.379,I,365,500.101,108.25,2,24,18-02-2019
NOLSM52225,1,photo_li,49.091,G,436,511.047,109.34,2,25,18-02-2019
NOLSM53226,2,photo_li,41.355,I,365,522.118,108.789,2,26,18-02-2019
NOLSM54227,3,photo_li,46.285,G,436,499.689,107.465,2,27,18-02-2019
NOLSM568221,1,photo_li,30.232,G,436,556.036,108.441,22,1,18-02-2019
NOLSM569222,2,photo_li,26.925,G,436,547.665,108.71,22,2,18-02-2019
NOLSM570223,3,photo_li,31.411,G,436,550.573,108.854,22,3,18-02-2019
NOLSM571224,1,photo_li,37.292,G,436,553.147,108.995,22,4,18-02-2019
NOLSM572225,2,photo_li,30.239,G,436,553.558,108.878,22,5,18-02-2019
NOLSM573226,3,photo_li,32.761,G,436,558.225,108.876,22,6,18-02-2019
NOLSM574227,1,photo_li,17.203,G,436,537.11,108.302,22,7,18-02-2019
NOLSM575228,2,photo_li,28.684,G,436,551.091,108.795,22,8,18-02-2019
NOLSM576229,3,photo_li,29.181,G,436,551.105,108.185,22,9,18-02-2019
NOLSM5772210,1,photo_li,26.682,G,436,554.306,108.257,22,10,18-02-2019
NOLSM5782211,2,photo_li,33.873,G,436,547.305,109.303,22,11,18-02-2019
NOLSM5792212,3,photo_li,29.884,G,436,548.76,108.556,22,12,18-02-2019
NOLSM5802213,1,photo_li,19.704,G,436,552.565,107.864,22,13,18-02-2019
NOLSM5812214,2,photo_li,21.393,G,436,557.195,107.739,22,14,18-02-2019
NOLSM5822215,3,photo_li,28.17,G,436,548.946,107.813,22,15,18-02-2019
NOLSM5832216,1,photo_li,40.534,G,436,551.142,109.291,22,16,18-02-2019
NOLSM5842217,2,photo_li,25.47,G,436,548.765,108.555,22,17,18-02-2019
NOLSM5852218,3,photo_li,29.089,G,436,549.782,108.233,22,18,18-02-2019
NOLSM5862219,1,photo_li,32.562,G,436,555.955,108.597,22,19,18-02-2019
NOLSM5872220,2,photo_li,24.515,G,436,545.424,108.536,22,20,18-02-2019
NOLSM5882221,3,photo_li,31.187,G,436,565.117,108.029,22,21,18-02-2019
NOLSM5892222,2,photo_li,23.719,G,436,559.336,108.042,22,22,18-02-2019
NOLSM5902223,3,photo_li,28.795,G,436,551.584,107.943,22,23,18-02-2019
