No_Die,Lot_Num,Wafer_Num,Datetime,Ox_Chamber,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target
NOLSM465186465,18,33,06-03-2019,3,dry,882.3360488,22.18,0.217,31,712.477,3,1.06047,16.398,15.039,20.003,199.192,89.999,499.192,4084.939,4979.8,4.967,90.947,29.999,1,19.727,436,552.958,107.638,3,150,1329,3637,5708,71.248,51.054,1.026,3,1.46E+16,1.46E+17,1.38E+17,2.98E+17,6.00E+17,32200.232,102.634,913,154,33
NOLSM466187466,18,34,06-03-2019,3,dry,885.8521753,22.18,0.201,33,712.484,3,1.00201,16.849,15.109,19.998,198.879,90,498.879,4045.078,4971.964,4.97,91.144,30.002,1,29.578,436,550.899,108.359,1,62,1418,3634,5732,71.248,51.153,1.029,1,8.87E+15,9.24E+16,2.55E+17,3.00E+17,6.00E+17,32202.697,102.883,917,154,15
NOLSM467188467,18,35,06-03-2019,3,dry,880.3693945,22.2,0.204,33,713.776,3,0.98377,17.185,15.018,19.998,199.287,90.002,499.287,4010.176,4982.181,4.985,90.663,29.998,1,17.244,436,548.49,107.84,2,143,1415,3636,5701,71.378,51.38,1.034,2,1.57E+16,1.23E+17,1.38E+17,3.01E+17,6.00E+17,32198.538,103.449,912,155,9
NOLSM468189468,18,36,06-03-2019,3,dry,882.4097827,22.2,0.204,32,713.6,3,1.11711,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,30.011,1,17.474,436,547.287,107.46,3,113,1413,3638,5726,71.36,50.989,1.025,3,1.66E+16,6.66E+16,1.38E+17,2.99E+17,6.00E+17,32200.315,102.473,908,154,24
NOLSM4691810469,18,37,06-03-2019,3,dry,890.0527105,22.21,0.2,29,712.25,3,0.78203,17.367,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,2,23.018,436,548.646,108.197,1,178,1486,3639,5726,71.225,51.355,1.034,1,1.08E+16,2.67E+16,3.36E+16,3.02E+17,6.00E+17,32200.324,103.388,912,155,60
NOLSM4701811470,18,38,06-03-2019,3,dry,889.3029285,22.21,0.199,29,712.442,3,1.0309,16.09,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,2,24.328,436,555.085,108.275,2,241,1505,3637,5728,71.244,51.355,1.034,2,1.32E+16,1.16E+17,1.38E+17,3.02E+17,6.00E+17,32201.779,103.387,913,155,39
NOLSM4711812471,18,39,06-03-2019,3,dry,880.3531034,22.19,0.203,30,712.213,3,0.89203,19.026,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,2,31.553,436,552.418,108.825,3,165,1399,3635,5705,71.221,51.61,1.04,3,1.67E+16,1.42E+17,2.54E+17,2.98E+17,6.00E+17,32300.362,104.024,916,156,24
NOLSM4721813472,18,40,06-03-2019,3,dry,874.0830348,22.19,0.204,224,713.713,3,0.81909,18.891,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,2,36.742,436,556.431,108.883,1,136,1393,3639,5733,71.371,51.651,1.041,1,3.08E+15,9.24E+16,1.42E+17,2.99E+17,6.00E+17,32299.266,104.129,917,156,54
NOLSM4731814473,18,41,06-03-2019,3,dry,880.7318826,22.19,0.189,224,713.21,3,0.65738,13.788,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,2,29.197,436,551.224,108.837,2,192,1438,3642,5693,71.321,51.618,1.04,2,1.38E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,32300.914,104.045,917,156,87
NOLSM4741815474,18,42,06-03-2019,3,dry,883.1827177,22.21,0.218,224,713.755,3,1.02135,18.771,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,2,36.652,436,556.698,109.502,3,167,1414,3635,5725,71.375,51.608,1.04,3,1.44E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,32300.515,104.019,922,156,54
NOLSM4751816475,18,43,06-03-2019,3,dry,889.1366509,22.19,0.202,225,714.696,3,0.81659,20.701,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,2,38,436,555.801,108.991,1,142,1461,3640,5689,71.47,51.881,1.047,1,7.95E+15,7.70E+16,2.00E+17,3.00E+17,6.00E+17,32297.604,104.702,917,157,84
NOLSM4761817476,18,44,06-03-2019,3,dry,873.1333578,22.17,0.216,224,713.465,3,0.82715,11.253,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,2,31.46,436,550.755,108.858,2,200,1448,3635,5706,71.346,51.626,1.041,2,9.66E+15,4.18E+16,2.67E+17,3.00E+17,6.00E+17,32299.646,104.065,917,156,30
NOLSM4771818477,18,45,06-03-2019,3,dry,882.8744757,22.12,0.209,223,712.843,3,1.044,15.286,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,2,32.782,436,546.804,108.846,3,107,1370,3636,5721,71.284,51.506,1.038,3,1.47E+16,1.38E+17,1.71E+16,2.99E+17,6.00E+17,32300.541,103.766,917,156,48
NOLSM4781819478,18,46,06-03-2019,3,dry,889.1419078,22.11,0.203,32,713.454,3,0.83434,12.463,14.97,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,3,29.906,436,550.457,108.913,1,53,1311,3635,5721,71.345,51.632,1.041,1,1.55E+16,1.55E+17,1.38E+17,3.00E+17,6.00E+17,32300.313,104.08,917,156,15
NOLSM4791820479,18,47,06-03-2019,3,dry,871.8593178,22.12,0.217,31,713.224,3,0.6944,19.767,14.917,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,3,35.244,436,552.697,109.409,2,228,1356,3640,5721,71.322,51.699,1.042,2,2.04E+16,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32300.421,104.248,920,156,81
NOLSM4801821480,18,48,06-03-2019,3,dry,882.3368137,22.1,0.218,31,714.11,3,0.89266,16.029,15.039,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,3,39.437,436,546.286,109.337,3,182,1372,3640,5704,71.411,51.862,1.047,3,1.44E+16,4.11E+16,6.94E+16,3.02E+17,6.00E+17,32300.241,104.656,919,157,63
NOLSM4811822481,18,49,06-03-2019,3,dry,890.3149261,22.11,0.217,33,713.825,3,0.71561,17.587,15.109,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,3,42.086,436,543.498,110.06,1,136,1308,3634,5705,71.383,51.928,1.048,1,5.98E+15,3.03E+16,2.08E+17,2.98E+17,6.00E+17,32296.539,104.819,925,157,21
NOLSM4821823482,18,50,06-03-2019,3,dry,880.67809,22.1,0.219,33,715.172,3,0.85345,16.445,15.018,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,3,31.482,436,544.819,109.031,2,160,1306,3637,5715,71.517,52.139,1.053,2,8.13E+15,4.31E+16,1.38E+17,2.99E+17,6.00E+17,32197.085,105.348,915,158,15
NOLSM4831824483,18,51,06-03-2019,3,dry,873.9539139,22.1,0.216,32,713.038,3,1.12362,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,3,43.236,436,559.819,109.34,3,132,1709,3637,5729,71.304,51.748,1.044,3,1.24E+16,2.18E+16,1.80E+17,2.99E+17,6.00E+17,32197.037,104.369,920,157,45
NOLSM4841825484,18,52,06-03-2019,3,dry,884.1500837,22.1,0.216,29,712.958,3,1.62494,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,3,35.818,436,560.269,109.205,1,145,1468,3638,5723,71.296,51.876,1.047,1,8.21E+15,1.68E+16,2.47E+17,3.00E+17,6.00E+17,32199.163,104.691,917,157,57
NOLSM4851826485,18,53,06-03-2019,3,dry,878.1236034,22.09,0.217,29,714.001,3,1.18246,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,3,34.683,436,552.795,109.331,2,114,1466,3635,5696,71.4,51.904,1.048,2,1.31E+16,6.89E+16,1.78E+17,3.01E+17,6.00E+17,32201.077,104.76,918,157,12
NOLSM4861827486,18,54,06-03-2019,3,dry,882.3529794,22.1,0.217,224,713.848,3,1.22609,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,3,45.552,436,552.984,109.671,3,210,1390,3644,5732,71.385,51.894,1.047,3,2.90E+15,2.77E+16,1.33E+17,3.00E+17,6.00E+17,32200.053,104.734,920,157,108
NOLSM460181,18,1,06-03-2019,2,dry,870.1430801,22.15,0.188,195,688.458,2,0.96985,16.96,14.94,20.002,205.266,90.001,505.266,4105.328,5131.66,5.119,93.795,29.99,3,25.657,436,542.767,106.535,1,98,1370,3614,5683,68.846,49.99,1,1,1.71E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,32203.258,99.975,912,150,48
NOLSM461182,18,2,06-03-2019,2,dry,870.7949893,22.18,0.192,199,690.969,3,0.67389,16.527,15.106,20.002,205.014,90.001,505.014,4100.279,5125.348,5.11,92.334,30.017,1,22.358,436,559.309,107.851,1,183,1346,3615,5711,69.097,50.559,1.014,1,1.72E+16,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32196.245,101.397,913,152,36
NOLSM462183,18,3,06-03-2019,2,dry,871.0032293,22.18,0.208,215,704.849,3,1.07597,16.996,15.032,20.004,201.845,90,501.845,4036.901,5046.127,5.057,92.03,29.994,2,19.378,436,554.537,107.31,2,195,1396,3628,5704,70.485,51.093,1.027,2,8.80E+15,1.09E+16,1.38E+17,3.01E+17,6.00E+17,32199.428,102.733,915,154,30
NOLSM463184,18,4,06-03-2019,2,dry,871.4997532,22.18,0.211,218,708.054,3,0.92165,16.867,14.954,19.996,200.993,90,500.993,4019.851,5024.813,5.031,91.466,30.006,3,29.366,436,557.108,107.699,3,183,1378,3630,5689,70.805,51.007,1.025,3,1.21E+16,9.24E+16,1.38E+17,2.98E+17,6.00E+17,32197.27,102.517,915,154,15
NOLSM464185,18,5,06-03-2019,3,dry,871.6910602,22.19,0.216,223,712.583,1,0.78711,16.648,15.029,20.002,199.811,90,499.811,3996.219,4995.273,5.002,91.033,30.01,1,13.721,436,553.497,107.293,3,152,1420,3636,5717,71.258,51.175,1.029,3,5.72E+15,4.60E+16,2.83E+17,3.01E+17,6.00E+17,32198.727,102.939,912,154,24
NOLSM465186,18,6,06-03-2019,3,dry,872.0964096,22.18,0.216,223,712.477,1,1.06047,16.398,14.952,20.003,199.192,89.999,499.192,3983.84,4979.8,4.967,90.947,30.007,2,19.727,436,552.958,107.638,2,150,1329,3637,5708,71.248,51.054,1.026,2,1.46E+16,1.46E+17,1.38E+17,2.98E+17,6.00E+17,32200.232,102.634,913,154,33
NOLSM466187,18,7,06-03-2019,3,dry,871.8803254,22.18,0.216,223,712.484,1,1.00201,16.849,14.967,19.998,198.879,90,498.879,3977.571,4971.964,4.97,91.144,30.004,3,29.578,436,550.899,108.359,1,62,1418,3634,5732,71.248,51.153,1.029,1,8.87E+15,9.24E+16,2.55E+17,3.00E+17,6.00E+17,32202.697,102.883,917,154,15
NOLSM467188,18,8,06-03-2019,3,dry,872.3541455,22.2,0.217,224,713.776,2,0.98377,17.185,15.077,19.998,199.287,90.002,499.287,3985.745,4982.181,4.985,90.663,29.997,1,17.244,436,548.49,107.84,1,143,1415,3636,5701,71.378,51.38,1.034,1,1.57E+16,1.23E+17,1.38E+17,3.01E+17,6.00E+17,32198.538,103.449,912,155,9
NOLSM468189,18,9,06-03-2019,3,dry,872.4141968,22.2,0.217,224,713.6,2,1.11711,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,29.99,2,17.474,436,547.287,107.46,2,113,1413,3638,5726,71.36,50.989,1.025,2,1.66E+16,6.66E+16,1.38E+17,2.99E+17,6.00E+17,32200.315,102.473,908,154,24
NOLSM4691810,18,10,06-03-2019,3,dry,872.3553695,22.21,0.216,223,712.25,3,0.78203,16.699,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,1,23.018,436,548.646,108.197,3,178,1486,3639,5726,71.225,51.355,1.034,3,1.08E+16,2.67E+16,3.36E+16,3.02E+17,6.00E+17,32200.324,103.388,912,155,60
NOLSM4701811,18,11,06-03-2019,3,dry,872.5565675,22.21,0.216,223,712.442,3,1.0309,16.056,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,2,24.328,436,555.085,108.275,2,241,1505,3637,5728,71.244,51.355,1.034,2,1.32E+16,1.16E+17,1.38E+17,3.02E+17,6.00E+17,32201.779,103.387,913,155,39
NOLSM4711812,18,12,06-03-2019,3,dry,872.1836111,22.19,0.216,223,712.213,3,0.89203,15.741,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,3,31.553,436,552.418,108.825,1,165,1399,3635,5705,71.221,51.61,1.04,1,1.67E+16,1.42E+17,2.54E+17,2.98E+17,6.00E+17,32300.362,104.024,916,156,24
NOLSM4721813,18,13,06-03-2019,1,dry,872.4719636,22.19,0.217,224,713.713,1,0.81909,16.839,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,1,36.742,436,556.431,108.883,1,136,1393,3639,5733,71.371,51.651,1.041,1,3.08E+15,9.24E+16,1.42E+17,2.99E+17,6.00E+17,32299.266,104.129,917,156,54
NOLSM4731814,18,14,06-03-2019,1,dry,872.0302876,22.19,0.217,224,713.21,1,0.65738,16.674,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,2,29.197,436,551.224,108.837,2,192,1438,3642,5693,71.321,51.618,1.04,2,1.38E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,32300.914,104.045,917,156,87
NOLSM4741815,18,15,06-03-2019,1,dry,872.5088053,22.21,0.217,224,713.755,1,1.02135,16.548,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,3,36.652,436,556.698,109.502,3,167,1414,3635,5725,71.375,51.608,1.04,3,1.44E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,32300.515,104.019,922,156,21
NOLSM4751816,18,16,06-03-2019,1,dry,872.5657741,22.19,0.218,225,714.696,2,0.81659,16.811,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,1,38,436,555.801,108.991,3,142,1461,3640,5689,71.47,51.881,1.047,3,7.95E+15,7.70E+16,2.00E+17,3.00E+17,6.00E+17,32297.604,104.702,917,157,57
NOLSM4761817,18,17,06-03-2019,1,dry,872.3695463,22.17,0.217,224,713.465,2,0.82715,15.987,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,3,31.46,436,550.755,108.858,1,200,1448,3635,5706,71.346,51.626,1.041,1,9.66E+15,4.18E+16,2.67E+17,3.00E+17,6.00E+17,32299.646,104.065,917,156,15
NOLSM4771818,18,18,06-03-2019,1,dry,872.2527033,22.12,0.216,223,712.843,3,1.044,17.072,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,1,32.782,436,546.804,108.846,1,107,1370,3636,5721,71.284,51.506,1.038,1,1.47E+16,1.38E+17,1.71E+16,2.99E+17,6.00E+17,32300.541,103.766,917,156,30
NOLSM4781819,18,19,06-03-2019,1,dry,871.975026,22.11,0.217,224,713.454,3,0.83434,16.87,14.996,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,2,29.906,436,550.457,108.913,2,53,1311,3635,5721,71.345,51.632,1.041,2,1.55E+16,1.55E+17,1.38E+17,3.00E+17,6.00E+17,32300.313,104.08,917,156,18
NOLSM4791820,18,20,06-03-2019,1,dry,871.3201245,22.12,0.217,224,713.224,3,0.6944,17.148,14.973,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,3,35.244,436,552.697,109.409,3,228,1356,3640,5721,71.322,51.699,1.042,3,2.04E+16,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32300.421,104.248,920,156,81
NOLSM4801821,18,21,06-03-2019,2,dry,871.5156406,22.1,0.218,225,714.11,1,0.89266,16.694,15.105,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,1,39.437,436,546.286,109.337,3,182,1372,3640,5704,71.411,51.862,1.047,3,1.44E+16,4.11E+16,6.94E+16,3.02E+17,6.00E+17,32300.241,104.656,919,157,63
NOLSM4811822,18,22,06-03-2019,2,dry,871.5312982,22.11,0.217,224,713.825,1,0.71561,16.661,14.898,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,2,42.086,436,543.498,110.06,2,136,1308,3634,5705,71.383,51.928,1.048,2,5.98E+15,3.03E+16,2.08E+17,2.98E+17,6.00E+17,32296.539,104.819,925,157,21
NOLSM4821823,18,23,06-03-2019,2,dry,872.3137478,22.1,0.219,226,715.172,1,0.85345,16.157,15.019,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,3,31.482,436,544.819,109.031,1,160,1306,3637,5715,71.517,52.139,1.053,1,8.13E+15,4.31E+16,1.38E+17,2.99E+17,6.00E+17,32197.085,105.348,915,158,15
NOLSM4831824,18,24,06-03-2019,2,dry,871.1639191,22.1,0.216,223,713.038,2,0.91509,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,1,43.236,436,559.819,109.34,1,132,1373,3637,5729,71.304,51.748,1.044,1,1.24E+16,2.18E+16,1.80E+17,2.99E+17,6.00E+17,32197.037,104.369,920,157,45
NOLSM4841825,18,25,06-03-2019,2,dry,871.4705615,22.1,0.216,223,712.958,2,0.90035,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,2,35.818,436,560.269,109.205,2,145,1413,3638,5723,71.296,51.876,1.047,2,8.21E+15,1.68E+16,2.47E+17,3.00E+17,6.00E+17,32199.163,104.691,917,157,57
NOLSM4851826,18,26,06-03-2019,2,dry,871.7683051,22.09,0.217,224,714.001,2,0.88812,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,3,34.683,436,552.795,109.331,3,114,1282,3635,5696,71.4,51.904,1.048,3,1.31E+16,6.89E+16,1.78E+17,3.01E+17,6.00E+17,32201.077,104.76,918,157,12
NOLSM4861827,18,27,06-03-2019,2,dry,871.2876685,22.1,0.217,224,713.848,3,0.7983,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,1,45.552,436,552.984,109.671,3,210,1428,3644,5732,71.385,51.894,1.047,3,2.90E+15,2.77E+16,1.33E+17,3.00E+17,6.00E+17,32200.053,104.734,920,157,108
NOLSM487191487,19,28,07-03-2019,1,dry,872.9084188,22.1,0.219,226,715.199,1,1.81419,16.624,15.066,19.999,204.42,90,501.343,4026.868,5033.585,5.017,91.995,29.994,1,38.42,436,552.143,109.603,1,191,1561,3640,5690,71.52,52.092,1.052,1,1.43E+16,1.14E+17,1.38E+17,3.00E+17,6.00E+17,32198.19,105.23,919,158,51
NOLSM488192488,19,29,07-03-2019,1,dry,874.3980394,22.1,0.219,226,715.385,1,1.89693,16.706,14.957,20.004,204.484,90,501.388,4027.76,5034.7,5.033,92.461,29.996,1,40.362,436,554.379,109.975,2,180,1665,3636,5711,71.539,52.101,1.053,2,1.46E+16,3.05E+16,1.38E+17,3.01E+17,6.00E+17,32199.503,105.251,924,158,27
NOLSM489193489,19,30,07-03-2019,1,dry,874.5326523,22.11,0.219,226,715.44,1,1.72027,15.742,15.039,19.998,203.145,90,501.048,4020.959,5026.199,5.028,92.843,30.002,1,49.535,436,539.611,110.531,3,241,1573,3637,5704,71.544,52.168,1.054,3,1.11E+16,6.38E+16,1.38E+17,3.00E+17,6.00E+17,32200.371,105.42,929,158,51
NOLSM490194490,19,31,07-03-2019,1,dry,878.8474185,22.1,0.22,227,716.953,1,0.96161,16.097,15.052,19.995,195.579,90,502.063,4041.264,5051.58,5.045,92.313,29.994,1,48.873,436,543.765,110.704,1,210,1526,3646,5694,71.695,52.326,1.058,1,9.87E+15,9.24E+16,1.38E+17,2.98E+17,6.00E+17,32202.607,105.815,929,159,117
NOLSM491195491,19,32,07-03-2019,1,dry,873.965639,22.09,0.22,227,716.079,1,1.48912,16.81,14.916,19.998,196.382,90.001,501.574,4031.484,5039.355,5.024,91.672,30.011,1,38.145,436,557.198,109.671,2,136,1481,3640,5721,71.608,52.369,1.059,2,1.98E+16,1.17E+17,5.28E+16,2.99E+17,6.00E+17,32201.147,105.922,921,159,48
NOLSM492196492,19,33,07-03-2019,1,dry,877.5255474,22.08,0.219,226,715.605,1,0.94868,16.806,14.863,19.999,196.599,90,500.921,4018.416,5023.02,4.998,91.667,30.005,1,40.408,436,559.368,109.111,3,198,1588,3641,5726,71.56,51.699,1.042,3,1.85E+16,6.67E+16,1.38E+17,3.00E+17,6.00E+17,32200.629,104.247,917,156,57
NOLSM493197493,19,34,07-03-2019,1,dry,879.7308171,22.05,0.217,224,713.967,1,0.83591,17.095,14.914,20,197.555,90.001,500.286,4005.711,5007.138,4.994,91.31,29.998,1,24.251,436,551.846,108.36,1,186,1441,3645,5729,71.397,51.598,1.04,1,1.18E+16,1.06E+17,1.38E+17,3.00E+17,6.00E+17,32201.877,103.995,911,156,93
NOLSM494198494,19,35,07-03-2019,1,dry,879.2388316,22.03,0.217,224,713.483,1,1.36943,16.473,14.978,19.996,197.98,90.001,499.381,3987.622,4984.527,4.985,91.497,30.003,1,30.525,436,551.722,108.611,2,195,1441,3642,5732,71.348,51.548,1.039,2,1.01E+16,9.24E+16,6.04E+16,3.01E+17,6.00E+17,32199.828,103.871,913,156,75
NOLSM495199495,19,36,07-03-2019,1,dry,874.0390279,22.04,0.217,224,713.627,1,1.92633,17.239,14.966,19.995,197.183,90,499.125,3982.507,4978.133,4.99,91.532,30.006,1,36.502,436,553.742,108.924,3,270,1402,3639,5720,71.033,51.571,1.039,3,9.20E+15,9.24E+16,1.38E+17,3.00E+17,6.00E+17,32202.069,103.928,914,156,45
NOLSM4961910496,19,37,07-03-2019,1,dry,871.9816334,22.03,0.218,32,714.956,1,1.41846,16.812,15.039,19.997,197.908,90,499.951,3999.023,4998.779,4.98,91.009,29.998,2,24.124,436,553.393,108.303,1,185,1459,3646,5692,71.137,51.729,1.043,1,2.14E+16,4.12E+16,1.38E+17,2.99E+17,6.00E+17,32200.463,104.322,910,156,96
NOLSM4971911497,19,38,07-03-2019,1,dry,891.6218176,22.05,0.217,32,713.64,1,0.67979,16.467,14.944,20.003,197.135,90,498.914,3978.273,4972.841,4.971,90.769,29.995,2,29.507,436,555.049,108.042,2,363,1508,3656,5702,71.234,51.523,1.038,2,8.76E+15,8.53E+16,1.38E+17,2.99E+17,6.00E+17,32201.824,103.807,908,156,207
NOLSM4981912498,19,39,07-03-2019,1,dry,874.1766822,22.06,0.216,32,712.976,1,0.73422,16.468,14.918,20.003,197.621,90,498.11,3962.196,4952.745,4.961,91.265,30.002,2,37.901,436,558.813,108.924,3,243,1459,3646,5721,71.249,51.41,1.035,3,1.16E+16,1.00E+17,1.38E+17,3.01E+17,6.00E+17,32198.962,103.525,915,155,126
NOLSM4991913499,19,40,07-03-2019,1,dry,879.1363513,22.05,0.219,32,715.564,1,1.81419,17.367,15.109,20.006,197.925,90,500.097,4001.938,5002.422,4.999,91.5,29.996,2,34.094,436,554.717,109.182,1,281,1497,3651,5688,71.169,51.932,1.048,1,2.11E+16,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32203.539,104.83,916,157,153
NOLSM5001914500,19,41,07-03-2019,1,dry,890.5991041,22.03,0.219,31,715.604,1,1.89693,16.09,15.011,19.997,199.037,89.999,499.352,3987.046,4983.808,4.986,90.816,30.002,2,29.246,436,549.091,108.335,2,326,1514,3653,5696,71.153,51.904,1.048,2,1.92E+16,9.24E+16,1.38E+17,3.01E+17,6.00E+17,32200.183,104.759,911,157,156
NOLSM5011915501,19,42,07-03-2019,1,dry,873.4751335,32.8,0.218,32,714.557,1,1.72027,19.026,14.933,20,198.398,90.001,498.157,3963.138,4953.923,4.962,91.354,30.002,2,43.378,436,553.48,109.471,3,345,1492,3652,5729,71.196,51.51,1.038,3,1.52E+16,3.96E+16,2.29E+17,2.99E+17,6.00E+17,32195.713,103.775,919,156,180
NOLSM5021916502,19,43,07-03-2019,1,dry,881.6198966,31.86,0.22,31,716.48,1,0.96161,18.891,14.954,19.999,198.768,90,500.323,4006.461,5008.076,4.982,91.072,30.003,2,42.33,436,553.143,109.929,1,325,1442,3657,5711,71.174,52.03,1.051,1,5.71E+15,2.78E+16,1.38E+17,2.99E+17,6.00E+17,32200.514,105.075,920,158,216
NOLSM5031917503,19,44,07-03-2019,1,dry,884.0772341,39.51,0.22,34,716.51,1,1.48912,13.788,15.007,20.003,202.059,90,499.256,3985.114,4981.392,4.984,90.916,30.004,2,38.55,436,555.78,109.747,2,175,1538,3657,5709,71.287,52.084,1.052,2,1.10E+16,9.20E+16,1.38E+17,3.01E+17,6.00E+17,32201.656,105.21,920,158,216
NOLSM5041918504,19,45,07-03-2019,1,dry,871.9225053,32.88,0.22,33,716.331,1,0.94868,18.771,15.055,20.003,203.143,90,499.396,3987.912,4984.89,4.958,90.657,30.005,2,39.991,436,558.537,109.093,3,202,1515,3677,5719,71.17,51.986,1.05,3,1.07E+16,9.36E+16,1.38E+17,3.00E+17,6.00E+17,32199.318,104.965,915,157,399
NOLSM5051919505,19,46,07-03-2019,1,dry,884.241487,38.11,0.213,32,709.949,1,0.83591,20.701,15.11,20,202.415,89.999,502.855,4057.107,5071.384,5.06,92.945,29.996,3,19.408,436,550.221,107.745,1,313,1422,3631,5703,71.164,50.934,1.023,1,4.91E+15,3.96E+16,9.83E+16,3.01E+17,6.00E+17,32302.153,102.335,916,154,18
NOLSM5061920506,19,47,07-03-2019,1,dry,872.3001329,39.93,0.213,220,709.495,1,1.36943,11.253,15.069,20.001,202.79,90,503.441,4068.827,5086.034,5.103,93.683,29.994,3,28.894,436,546.867,108.327,2,224,1453,3636,5722,71.119,51.06,1.027,2,1.47E+16,5.30E+16,1.38E+17,3.01E+17,6.00E+17,32298.512,102.651,920,154,75
NOLSM5071921507,19,48,07-03-2019,1,dry,874.9212205,35.63,0.2,220,710.112,1,1.92633,15.286,15.029,20.001,202.86,90,504.091,4081.827,5102.283,5.122,93.935,30.01,3,39.421,436,553.719,109.144,3,333,1450,3633,5702,71.256,51.492,1.037,3,1.01E+16,1.39E+16,8.29E+16,3.01E+17,6.00E+17,32298.272,103.731,928,156,57
NOLSM5081922508,19,49,07-03-2019,1,dry,884.2343176,28.6,0.194,222,711.589,1,1.41846,12.463,14.97,19.995,205.684,90,505.684,4113.674,5142.092,5.124,92.576,29.996,3,19.43,436,553.769,107.464,1,269,1338,3633,5724,71.402,51.537,1.038,1,3.48E+15,1.56E+16,1.97E+17,3.00E+17,6.00E+17,32302.224,103.843,913,156,9
NOLSM5091923509,19,50,07-03-2019,1,dry,881.5642623,34.58,0.217,220,709.742,1,0.67979,19.767,14.917,20.002,202.524,90.001,502.524,4001.361,5063.106,5.072,92.969,29.999,3,28.585,436,548.822,108.066,2,216,1455,3631,5712,71.287,51.127,1.028,2,2.03E+16,7.67E+16,1.38E+17,3.00E+17,6.00E+17,32300.691,102.818,918,154,21
