,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
224,NOLSM441179441,3,Etching,471.0,1709.0,3667.0,5710.0,71.46600000000001,51.876000000000005,1.047,17,36,05-03-2019
225,NOLSM4421710442,1,Etching,354.0,1468.0,3646.0,5708.0,71.554,50.636,1.048,17,37,05-03-2019
226,NOLSM4431711443,2,Etching,424.0,1466.0,3672.0,5728.0,70.79899999999999,51.133,1.048,17,38,05-03-2019
227,NOLSM4441712444,3,Etching,319.0,1390.0,3647.0,5737.0,70.839,51.372,1.047,17,39,05-03-2019
228,NOLSM4451713445,1,Etching,360.0,1561.0,3662.0,5704.0,72.306,50.665,1.047,17,40,05-03-2019
229,NOLSM4461714446,2,Etching,337.0,1665.0,3645.0,5727.0,71.503,50.367,1.046,17,41,05-03-2019
230,NOLSM4471715447,3,Etching,506.0,1573.0,3621.0,5718.0,72.064,50.912,1.047,17,42,05-03-2019
231,NOLSM4481716448,1,Etching,435.0,1526.0,3654.0,5751.0,71.033,51.963,1.051,17,43,05-03-2019
232,NOLSM4491717449,2,Etching,337.0,1481.0,3639.0,5729.0,71.134,53.272,1.052,17,44,05-03-2019
233,NOLSM4501718450,3,Etching,268.0,1588.0,3673.0,5694.0,70.685,50.718,1.053,17,45,05-03-2019
234,NOLSM4511719451,1,Etching,398.0,1441.0,3668.0,5716.0,68.15,52.102,1.056,17,46,05-03-2019
235,NOLSM4521720452,2,Etching,435.0,1441.0,3665.0,5689.0,73.081,50.724,1.022,17,47,05-03-2019
236,NOLSM4531721453,3,Etching,337.0,1402.0,3656.0,5714.0,71.234,50.849,1.0290000000000001,17,48,05-03-2019
237,NOLSM4541722454,1,Etching,207.0,1517.0,3613.0,5723.0,70.28699999999999,51.178999999999995,1.055,17,49,05-03-2019
238,NOLSM4551723455,2,Etching,298.0,1575.0,3682.0,5737.0,71.399,51.177,1.015,17,50,05-03-2019
239,NOLSM4561724456,3,Etching,511.0,1487.0,3674.0,5688.0,72.158,51.828,1.054,17,51,05-03-2019
240,NOLSM4571725457,1,Etching,291.0,1623.0,3667.0,5730.0,71.972,51.486000000000004,1.035,17,52,05-03-2019
241,NOLSM4581726458,2,Etching,630.0,1205.0,3647.0,5706.0,70.657,51.428999999999995,1.035,17,53,05-03-2019
242,NOLSM4591727459,3,Etching,343.0,1589.0,3672.0,5702.0,71.628,50.958999999999996,1.033,17,54,05-03-2019
243,NOLSM433171,3,Etching,383.0,1500.0,3677.0,5695.0,71.885,51.538999999999994,1.018,17,1,05-03-2019
244,NOLSM434172,2,Etching,180.0,1663.0,3649.0,5714.0,71.389,51.222,1.026,17,2,05-03-2019
245,NOLSM435173,1,Etching,335.0,1355.0,3620.0,5734.0,72.87899999999999,50.68899999999999,1.055,17,3,05-03-2019
246,NOLSM436174,1,Etching,270.0,1372.0,3678.0,5709.0,71.999,51.88399999999999,1.0390000000000001,17,4,05-03-2019
247,NOLSM437175,2,Etching,197.0,1570.0,3648.0,5702.0,71.542,51.623000000000005,1.0290000000000001,17,5,05-03-2019
248,NOLSM438176,3,Etching,392.0,1522.0,3651.0,5696.0,70.415,51.003,1.032,17,6,05-03-2019
249,NOLSM439177,2,Etching,557.0,1507.0,3653.0,5697.0,71.625,51.508,1.0290000000000001,17,7,05-03-2019
250,NOLSM440178,1,Etching,266.0,1360.0,3678.0,5709.0,69.329,51.433,1.03,17,8,05-03-2019
251,NOLSM441179,1,Etching,471.0,1525.0,3667.0,5710.0,71.46600000000001,51.876000000000005,1.02,17,9,05-03-2019
252,NOLSM4421710,3,Etching,354.0,1495.0,3646.0,5708.0,71.554,50.636,1.041,17,10,05-03-2019
253,NOLSM4431711,3,Etching,424.0,1500.0,3672.0,5728.0,70.79899999999999,51.133,1.036,17,11,05-03-2019
254,NOLSM4441712,2,Etching,319.0,1431.0,3647.0,5737.0,70.839,51.372,1.044,17,12,05-03-2019
255,NOLSM4451713,1,Etching,360.0,1583.0,3662.0,5704.0,72.306,50.665,1.031,17,13,05-03-2019
256,NOLSM4461714,1,Etching,337.0,1434.0,3645.0,5727.0,71.503,50.367,1.064,17,14,05-03-2019
257,NOLSM4471715,2,Etching,506.0,1384.0,3621.0,5718.0,72.064,51.406000000000006,1.016,17,15,05-03-2019
258,NOLSM4481716,3,Etching,435.0,1509.0,3654.0,5751.0,71.033,50.453,1.021,17,16,05-03-2019
259,NOLSM4491717,3,Etching,337.0,1498.0,3639.0,5729.0,71.134,50.369,1.036,17,17,05-03-2019
260,NOLSM4501718,1,Etching,268.0,1372.0,3673.0,5694.0,70.685,50.708,1.041,17,18,05-03-2019
261,NOLSM4511719,1,Etching,398.0,1479.0,3668.0,5716.0,68.15,50.463,1.04,17,19,05-03-2019
262,NOLSM4521720,3,Etching,435.0,1556.0,3665.0,5689.0,73.081,51.388999999999996,1.022,17,20,05-03-2019
263,NOLSM4531721,3,Etching,337.0,1319.0,3656.0,5714.0,71.234,51.688,1.0290000000000001,17,21,05-03-2019
264,NOLSM4541722,2,Etching,207.0,1517.0,3613.0,5723.0,70.28699999999999,50.762,1.055,17,22,05-03-2019
265,NOLSM4551723,1,Etching,298.0,1575.0,3682.0,5737.0,71.399,51.216,1.015,17,23,05-03-2019
266,NOLSM4561724,1,Etching,511.0,1487.0,3674.0,5688.0,72.158,51.151,1.054,17,24,05-03-2019
267,NOLSM4571725,3,Etching,291.0,1623.0,3667.0,5730.0,71.972,50.805,1.035,17,25,05-03-2019
268,NOLSM4581726,3,Etching,630.0,1205.0,3647.0,5706.0,70.657,50.916000000000004,1.035,17,26,05-03-2019
269,NOLSM4591727,2,Etching,343.0,1589.0,3672.0,5702.0,71.628,51.567,1.033,17,27,05-03-2019
270,NOLSM460181460,1,Etching,98.0,1370.0,3614.0,5683.0,68.846,51.516000000000005,1.0,18,28,06-03-2019
271,NOLSM461182461,2,Etching,183.0,1346.0,3615.0,5711.0,69.097,50.559,1.014,18,29,06-03-2019
272,NOLSM462183462,3,Etching,195.0,1396.0,3628.0,5704.0,70.485,51.093,1.0270000000000001,18,30,06-03-2019
273,NOLSM463184463,1,Etching,183.0,1378.0,3630.0,5689.0,70.805,51.007,1.025,18,31,06-03-2019
274,NOLSM464185464,2,Etching,152.0,1420.0,3636.0,5717.0,71.258,51.175,1.0290000000000001,18,32,06-03-2019
275,NOLSM465186465,3,Etching,150.0,1329.0,3637.0,5708.0,71.248,51.053999999999995,1.026,18,33,06-03-2019
276,NOLSM466187466,1,Etching,62.0,1418.0,3634.0,5732.0,71.248,51.153,1.0290000000000001,18,34,06-03-2019
277,NOLSM467188467,2,Etching,143.0,1415.0,3636.0,5701.0,71.378,51.38,1.034,18,35,06-03-2019
278,NOLSM468189468,3,Etching,113.0,1413.0,3638.0,5726.0,71.36,50.989,1.025,18,36,06-03-2019
279,NOLSM4691810469,1,Etching,178.0,1486.0,3639.0,5726.0,71.225,51.355,1.034,18,37,06-03-2019
280,NOLSM4701811470,2,Etching,241.0,1505.0,3637.0,5728.0,71.244,51.355,1.034,18,38,06-03-2019
281,NOLSM4711812471,3,Etching,165.0,1399.0,3635.0,5705.0,71.221,51.61,1.04,18,39,06-03-2019
282,NOLSM4721813472,1,Etching,136.0,1393.0,3639.0,5733.0,71.37100000000001,51.651,1.041,18,40,06-03-2019
283,NOLSM4731814473,2,Etching,192.0,1438.0,3642.0,5693.0,71.321,51.618,1.04,18,41,06-03-2019
284,NOLSM4741815474,3,Etching,167.0,1414.0,3635.0,5725.0,71.375,51.608000000000004,1.04,18,42,06-03-2019
285,NOLSM4751816475,1,Etching,142.0,1461.0,3640.0,5689.0,71.47,51.881,1.047,18,43,06-03-2019
286,NOLSM4761817476,2,Etching,200.0,1448.0,3635.0,5706.0,71.346,51.626000000000005,1.041,18,44,06-03-2019
287,NOLSM4771818477,3,Etching,107.0,1370.0,3636.0,5721.0,71.28399999999999,51.506,1.038,18,45,06-03-2019
288,NOLSM4781819478,1,Etching,53.0,1311.0,3635.0,5721.0,71.345,51.632,1.041,18,46,06-03-2019
289,NOLSM4791820479,2,Etching,228.0,1356.0,3640.0,5721.0,71.322,51.699,1.042,18,47,06-03-2019
290,NOLSM4801821480,3,Etching,182.0,1372.0,3640.0,5704.0,71.411,51.861999999999995,1.047,18,48,06-03-2019
291,NOLSM4811822481,1,Etching,136.0,1308.0,3634.0,5705.0,71.383,51.928000000000004,1.048,18,49,06-03-2019
292,NOLSM4821823482,2,Etching,160.0,1306.0,3637.0,5715.0,71.517,52.138999999999996,1.053,18,50,06-03-2019
293,NOLSM4831824483,3,Etching,132.0,1709.0,3637.0,5729.0,71.304,51.748000000000005,1.044,18,51,06-03-2019
294,NOLSM4841825484,1,Etching,145.0,1468.0,3638.0,5723.0,71.296,51.876000000000005,1.047,18,52,06-03-2019
295,NOLSM4851826485,2,Etching,114.0,1466.0,3635.0,5696.0,71.4,51.903999999999996,1.048,18,53,06-03-2019
296,NOLSM4861827486,3,Etching,210.0,1390.0,3644.0,5732.0,71.385,51.894,1.047,18,54,06-03-2019
297,NOLSM460181,1,Etching,98.0,1370.0,3614.0,5683.0,68.846,49.99,1.0,18,1,06-03-2019
298,NOLSM461182,1,Etching,183.0,1346.0,3615.0,5711.0,69.097,50.559,1.014,18,2,06-03-2019
299,NOLSM462183,2,Etching,195.0,1396.0,3628.0,5704.0,70.485,51.093,1.0270000000000001,18,3,06-03-2019
300,NOLSM463184,3,Etching,183.0,1378.0,3630.0,5689.0,70.805,51.007,1.025,18,4,06-03-2019
301,NOLSM464185,3,Etching,152.0,1420.0,3636.0,5717.0,71.258,51.175,1.0290000000000001,18,5,06-03-2019
302,NOLSM465186,2,Etching,150.0,1329.0,3637.0,5708.0,71.248,51.053999999999995,1.026,18,6,06-03-2019
303,NOLSM466187,1,Etching,62.0,1418.0,3634.0,5732.0,71.248,51.153,1.0290000000000001,18,7,06-03-2019
304,NOLSM467188,1,Etching,143.0,1415.0,3636.0,5701.0,71.378,51.38,1.034,18,8,06-03-2019
305,NOLSM468189,2,Etching,113.0,1413.0,3638.0,5726.0,71.36,50.989,1.025,18,9,06-03-2019
306,NOLSM4691810,3,Etching,178.0,1486.0,3639.0,5726.0,71.225,51.355,1.034,18,10,06-03-2019
307,NOLSM4701811,2,Etching,241.0,1505.0,3637.0,5728.0,71.244,51.355,1.034,18,11,06-03-2019
308,NOLSM4711812,1,Etching,165.0,1399.0,3635.0,5705.0,71.221,51.61,1.04,18,12,06-03-2019
309,NOLSM4721813,1,Etching,136.0,1393.0,3639.0,5733.0,71.37100000000001,51.651,1.041,18,13,06-03-2019
310,NOLSM4731814,2,Etching,192.0,1438.0,3642.0,5693.0,71.321,51.618,1.04,18,14,06-03-2019
311,NOLSM4741815,3,Etching,167.0,1414.0,3635.0,5725.0,71.375,51.608000000000004,1.04,18,15,06-03-2019
312,NOLSM4751816,3,Etching,142.0,1461.0,3640.0,5689.0,71.47,51.881,1.047,18,16,06-03-2019
313,NOLSM4761817,1,Etching,200.0,1448.0,3635.0,5706.0,71.346,51.626000000000005,1.041,18,17,06-03-2019
314,NOLSM4771818,1,Etching,107.0,1370.0,3636.0,5721.0,71.28399999999999,51.506,1.038,18,18,06-03-2019
315,NOLSM4781819,2,Etching,53.0,1311.0,3635.0,5721.0,71.345,51.632,1.041,18,19,06-03-2019
316,NOLSM4791820,3,Etching,228.0,1356.0,3640.0,5721.0,71.322,51.699,1.042,18,20,06-03-2019
317,NOLSM4801821,3,Etching,182.0,1372.0,3640.0,5704.0,71.411,51.861999999999995,1.047,18,21,06-03-2019
318,NOLSM4811822,2,Etching,136.0,1308.0,3634.0,5705.0,71.383,51.928000000000004,1.048,18,22,06-03-2019
319,NOLSM4821823,1,Etching,160.0,1306.0,3637.0,5715.0,71.517,52.138999999999996,1.053,18,23,06-03-2019
320,NOLSM4831824,1,Etching,132.0,1373.0,3637.0,5729.0,71.304,51.748000000000005,1.044,18,24,06-03-2019
321,NOLSM4841825,2,Etching,145.0,1413.0,3638.0,5723.0,71.296,51.876000000000005,1.047,18,25,06-03-2019
322,NOLSM4851826,3,Etching,114.0,1282.0,3635.0,5696.0,71.4,51.903999999999996,1.048,18,26,06-03-2019
323,NOLSM4861827,3,Etching,210.0,1428.0,3644.0,5732.0,71.385,51.894,1.047,18,27,06-03-2019
324,NOLSM487191487,1,Etching,191.0,1561.0,3640.0,5690.0,71.52,52.092,1.052,19,28,07-03-2019
325,NOLSM488192488,2,Etching,180.0,1665.0,3636.0,5711.0,71.539,52.101000000000006,1.053,19,29,07-03-2019
326,NOLSM489193489,3,Etching,241.0,1573.0,3637.0,5704.0,71.544,52.168,1.054,19,30,07-03-2019
327,NOLSM490194490,1,Etching,210.0,1526.0,3646.0,5694.0,71.695,52.326,1.058,19,31,07-03-2019
328,NOLSM491195491,2,Etching,136.0,1481.0,3640.0,5721.0,71.608,52.369,1.0590000000000002,19,32,07-03-2019
329,NOLSM492196492,3,Etching,198.0,1588.0,3641.0,5726.0,71.56,51.699,1.042,19,33,07-03-2019
330,NOLSM493197493,1,Etching,186.0,1441.0,3645.0,5729.0,71.39699999999999,51.598,1.04,19,34,07-03-2019
331,NOLSM494198494,2,Etching,195.0,1441.0,3642.0,5732.0,71.348,51.548,1.0390000000000001,19,35,07-03-2019
332,NOLSM495199495,3,Etching,270.0,1402.0,3639.0,5720.0,71.033,51.571000000000005,1.0390000000000001,19,36,07-03-2019
333,NOLSM4961910496,1,Etching,185.0,1459.0,3646.0,5692.0,71.137,51.729,1.043,19,37,07-03-2019
334,NOLSM4971911497,2,Etching,363.0,1508.0,3656.0,5702.0,71.234,51.523,1.038,19,38,07-03-2019
335,NOLSM4981912498,3,Etching,243.0,1459.0,3646.0,5721.0,71.249,51.41,1.035,19,39,07-03-2019
336,NOLSM4991913499,1,Etching,281.0,1497.0,3651.0,5688.0,71.169,51.931999999999995,1.048,19,40,07-03-2019
337,NOLSM5001914500,2,Etching,326.0,1514.0,3653.0,5696.0,71.153,51.903999999999996,1.048,19,41,07-03-2019
338,NOLSM5011915501,3,Etching,345.0,1492.0,3652.0,5729.0,71.196,51.51,1.038,19,42,07-03-2019
339,NOLSM5021916502,1,Etching,325.0,1442.0,3657.0,5711.0,71.17399999999999,52.03,1.051,19,43,07-03-2019
340,NOLSM5031917503,2,Etching,175.0,1538.0,3657.0,5709.0,71.28699999999999,52.083999999999996,1.052,19,44,07-03-2019
341,NOLSM5041918504,3,Etching,202.0,1515.0,3677.0,5719.0,71.17,51.986000000000004,1.05,19,45,07-03-2019
342,NOLSM5051919505,1,Etching,313.0,1422.0,3631.0,5703.0,71.164,50.934,1.023,19,46,07-03-2019
343,NOLSM5061920506,2,Etching,224.0,1453.0,3636.0,5722.0,71.119,51.06,1.0270000000000001,19,47,07-03-2019
344,NOLSM5071921507,3,Etching,333.0,1450.0,3633.0,5702.0,71.256,51.492,1.037,19,48,07-03-2019
345,NOLSM5081922508,1,Etching,269.0,1338.0,3633.0,5724.0,71.402,51.537,1.038,19,49,07-03-2019
346,NOLSM5091923509,2,Etching,216.0,1455.0,3631.0,5712.0,71.28699999999999,51.126999999999995,1.028,19,50,07-03-2019
347,NOLSM5101924510,3,Etching,236.0,1342.0,3631.0,5717.0,70.95,51.203,1.03,19,51,07-03-2019
348,NOLSM5111925511,1,Etching,151.0,1369.0,3629.0,5722.0,70.90899999999999,51.425,1.036,19,52,07-03-2019
349,NOLSM5121926512,2,Etching,207.0,1388.0,3638.0,5727.0,71.054,51.231,1.031,19,53,07-03-2019
350,NOLSM5131927513,3,Etching,212.0,1378.0,3635.0,5686.0,70.693,51.008,1.025,19,54,07-03-2019
351,NOLSM487191,2,Etching,191.0,1382.0,3640.0,5690.0,71.52,52.092,1.052,19,1,07-03-2019
352,NOLSM488192,1,Etching,180.0,1403.0,3636.0,5711.0,71.539,52.101000000000006,1.053,19,2,07-03-2019
353,NOLSM489193,1,Etching,241.0,1372.0,3637.0,5704.0,71.544,52.168,1.054,19,3,07-03-2019
354,NOLSM490194,2,Etching,210.0,1448.0,3646.0,5694.0,71.695,52.326,1.058,19,4,07-03-2019
355,NOLSM491195,3,Etching,136.0,1428.0,3640.0,5721.0,71.608,52.369,1.0590000000000002,19,5,07-03-2019
356,NOLSM492196,3,Etching,198.0,1388.0,3641.0,5726.0,71.56,51.699,1.042,19,6,07-03-2019
357,NOLSM493197,2,Etching,186.0,1388.0,3645.0,5729.0,71.39699999999999,51.598,1.04,19,7,07-03-2019
358,NOLSM494198,1,Etching,195.0,1358.0,3642.0,5732.0,71.348,51.548,1.0390000000000001,19,8,07-03-2019
359,NOLSM495199,1,Etching,270.0,1368.0,3639.0,5720.0,71.363,51.571000000000005,1.0390000000000001,19,9,07-03-2019
360,NOLSM4961910,2,Etching,185.0,1459.0,3646.0,5692.0,71.49600000000001,51.729,1.043,19,10,07-03-2019
361,NOLSM4971911,3,Etching,363.0,1508.0,3656.0,5702.0,71.36399999999999,51.523,1.038,19,11,07-03-2019
362,NOLSM4981912,3,Etching,243.0,1459.0,3646.0,5721.0,71.298,51.41,1.035,19,12,07-03-2019
363,NOLSM4991913,2,Etching,281.0,1497.0,3651.0,5688.0,71.556,51.931999999999995,1.048,19,13,07-03-2019
364,NOLSM5001914,1,Etching,326.0,1514.0,3653.0,5696.0,71.56,51.903999999999996,1.048,19,14,07-03-2019
365,NOLSM5011915,1,Etching,345.0,1492.0,3652.0,5729.0,71.456,51.51,1.038,19,15,07-03-2019
366,NOLSM5021916,2,Etching,325.0,1442.0,3657.0,5711.0,71.648,52.03,1.051,19,16,07-03-2019
367,NOLSM5031917,3,Etching,365.0,1538.0,3657.0,5709.0,71.65100000000001,52.083999999999996,1.052,19,17,07-03-2019
368,NOLSM5041918,3,Etching,625.0,1515.0,3677.0,5719.0,71.633,51.986000000000004,1.05,19,18,07-03-2019
369,NOLSM5051919,2,Etching,50.0,1422.0,3631.0,5703.0,70.995,50.934,1.023,19,19,07-03-2019
370,NOLSM5061920,1,Etching,214.0,1453.0,3636.0,5722.0,70.95,51.06,1.0270000000000001,19,20,07-03-2019
371,NOLSM5071921,1,Etching,136.0,1450.0,3633.0,5702.0,71.01100000000001,51.492,1.037,19,21,07-03-2019
372,NOLSM5081922,2,Etching,95.0,1338.0,3633.0,5724.0,71.15899999999999,51.537,1.038,19,22,07-03-2019
373,NOLSM5091923,3,Etching,151.0,1455.0,3631.0,5712.0,70.97399999999999,51.126999999999995,1.028,19,23,07-03-2019
374,NOLSM5101924,2,Etching,53.0,1342.0,3631.0,5717.0,70.95,51.203,1.03,19,24,07-03-2019
375,NOLSM5111925,1,Etching,148.0,1369.0,3629.0,5722.0,70.90899999999999,51.425,1.036,19,25,07-03-2019
376,NOLSM5121926,1,Etching,188.0,1388.0,3638.0,5727.0,71.054,51.231,1.031,19,26,07-03-2019
377,NOLSM5131927,2,Etching,221.0,1378.0,3635.0,5686.0,70.693,51.008,1.025,19,27,07-03-2019
378,NOLSM514201514,1,Etching,218.0,1441.0,3639.0,5720.0,70.665,50.887,1.022,20,28,08-03-2019
379,NOLSM515202515,2,Etching,177.0,1328.0,3636.0,5714.0,70.586,50.913999999999994,1.023,20,29,08-03-2019
380,NOLSM516203516,3,Etching,221.0,1418.0,3639.0,5702.0,70.748,51.262,1.032,20,30,08-03-2019
381,NOLSM517204517,1,Etching,175.0,1408.0,3630.0,5717.0,70.693,50.996,1.025,20,31,08-03-2019
382,NOLSM518205518,2,Etching,236.0,1391.0,3636.0,5714.0,70.98,51.72,1.043,20,32,08-03-2019
383,NOLSM519206519,3,Etching,286.0,1349.0,3635.0,5680.0,70.908,51.437,1.036,20,33,08-03-2019
384,NOLSM520207520,1,Etching,174.0,1432.0,3635.0,5729.0,70.984,51.358000000000004,1.034,20,34,08-03-2019
385,NOLSM521208521,2,Etching,136.0,1331.0,3630.0,5717.0,70.929,51.567,1.0390000000000001,20,35,08-03-2019
386,NOLSM522209522,3,Etching,208.0,1350.0,3632.0,5719.0,70.929,51.831,1.047,20,36,08-03-2019
387,NOLSM5232010523,1,Etching,404.0,1460.0,3649.0,5687.0,71.047,51.57899999999999,1.048,20,37,08-03-2019
388,NOLSM5242011524,2,Etching,111.0,1260.0,3631.0,5681.0,71.109,51.717,1.048,20,38,08-03-2019
389,NOLSM5252012525,3,Etching,217.0,1337.0,3638.0,5720.0,71.133,51.574,1.047,20,39,08-03-2019
390,NOLSM5262013526,1,Etching,177.0,1323.0,3633.0,5709.0,70.946,51.451,1.047,20,40,08-03-2019
391,NOLSM5272014527,2,Etching,193.0,1511.0,3637.0,5696.0,71.033,51.592,1.046,20,41,08-03-2019
392,NOLSM5282015528,3,Etching,237.0,1709.0,3641.0,5691.0,71.137,51.717,1.047,20,42,08-03-2019
393,NOLSM5292016529,1,Etching,255.0,1468.0,3641.0,5729.0,71.234,51.851000000000006,1.051,20,43,08-03-2019
394,NOLSM5302017530,2,Etching,256.0,1466.0,3643.0,5709.0,71.249,51.735,1.052,20,44,08-03-2019
395,NOLSM5312018531,3,Etching,151.0,1390.0,3634.0,5711.0,71.169,51.714,1.053,20,45,08-03-2019
396,NOLSM5322019532,1,Etching,206.0,1561.0,3641.0,5725.0,71.153,51.744,1.056,20,46,08-03-2019
397,NOLSM5332020533,2,Etching,158.0,1665.0,3637.0,5693.0,71.196,51.70399999999999,1.043,20,47,08-03-2019
398,NOLSM5342021534,3,Etching,278.0,1573.0,3641.0,5689.0,71.17399999999999,51.699,1.042,20,48,08-03-2019
399,NOLSM5352022535,1,Etching,381.0,1526.0,3656.0,5713.0,71.28699999999999,51.79600000000001,1.045,20,49,08-03-2019
400,NOLSM5362023536,2,Etching,297.0,1481.0,3645.0,5708.0,71.17,51.693999999999996,1.042,20,50,08-03-2019
401,NOLSM5372024537,3,Etching,212.0,1588.0,3639.0,5698.0,71.164,51.678999999999995,1.042,20,51,08-03-2019
402,NOLSM5382025538,1,Etching,177.0,1441.0,3640.0,5687.0,71.119,51.595,1.04,20,52,08-03-2019
403,NOLSM5392026539,2,Etching,190.0,1441.0,3636.0,5722.0,71.256,51.81100000000001,1.045,20,53,08-03-2019
404,NOLSM5402027540,3,Etching,204.0,1402.0,3641.0,5728.0,71.402,51.833999999999996,1.046,20,54,08-03-2019
405,NOLSM514201,3,Etching,256.0,1441.0,3639.0,5720.0,70.665,50.887,1.022,20,1,08-03-2019
406,NOLSM515202,3,Etching,191.0,1328.0,3636.0,5714.0,70.586,50.913999999999994,1.023,20,2,08-03-2019
407,NOLSM516203,2,Etching,224.0,1418.0,3639.0,5702.0,70.748,51.262,1.032,20,3,08-03-2019
408,NOLSM517204,1,Etching,122.0,1408.0,3630.0,5717.0,70.693,50.996,1.025,20,4,08-03-2019
409,NOLSM518205,1,Etching,236.0,1391.0,3636.0,5714.0,70.98,51.72,1.043,20,5,08-03-2019
410,NOLSM519206,2,Etching,286.0,1349.0,3635.0,5680.0,70.908,51.437,1.036,20,6,08-03-2019
411,NOLSM520207,3,Etching,174.0,1432.0,3635.0,5729.0,70.984,51.358000000000004,1.034,20,7,08-03-2019
412,NOLSM521208,2,Etching,136.0,1331.0,3630.0,5717.0,70.929,51.567,1.0390000000000001,20,8,08-03-2019
413,NOLSM522209,1,Etching,208.0,1350.0,3632.0,5719.0,70.929,51.831,1.046,20,9,08-03-2019
414,NOLSM5232010,1,Etching,404.0,1460.0,3649.0,5687.0,71.047,51.57899999999999,1.0390000000000001,20,10,08-03-2019
415,NOLSM5242011,2,Etching,111.0,1260.0,3631.0,5681.0,71.109,51.717,1.043,20,11,08-03-2019
416,NOLSM5252012,3,Etching,217.0,1337.0,3638.0,5720.0,71.133,51.574,1.0390000000000001,20,12,08-03-2019
417,NOLSM5262013,3,Etching,177.0,1323.0,3633.0,5709.0,70.946,51.451,1.036,20,13,08-03-2019
418,NOLSM5272014,2,Etching,193.0,1511.0,3637.0,5696.0,71.033,51.592,1.04,20,14,08-03-2019
419,NOLSM5282015,1,Etching,237.0,1488.0,3641.0,5691.0,71.137,51.717,1.043,20,15,08-03-2019
420,NOLSM5292016,1,Etching,255.0,1482.0,3641.0,5729.0,71.234,51.851000000000006,1.046,20,16,08-03-2019
421,NOLSM5302017,2,Etching,256.0,1482.0,3643.0,5709.0,71.249,51.735,1.043,20,17,08-03-2019
422,NOLSM5312018,3,Etching,151.0,1386.0,3634.0,5711.0,71.169,51.714,1.043,20,18,08-03-2019
423,NOLSM5322019,3,Etching,206.0,1519.0,3641.0,5725.0,71.153,51.744,1.044,20,19,08-03-2019
424,NOLSM5332020,2,Etching,158.0,1394.0,3637.0,5693.0,71.196,51.70399999999999,1.043,20,20,08-03-2019
425,NOLSM5342021,1,Etching,278.0,1446.0,3641.0,5689.0,71.17399999999999,51.699,1.042,20,21,08-03-2019
426,NOLSM5352022,1,Etching,381.0,1519.0,3656.0,5713.0,71.28699999999999,51.79600000000001,1.045,20,22,08-03-2019
427,NOLSM5362023,2,Etching,297.0,1509.0,3645.0,5708.0,71.17,51.693999999999996,1.042,20,23,08-03-2019
428,NOLSM5372024,3,Etching,212.0,1455.0,3639.0,5698.0,71.164,51.678999999999995,1.042,20,24,08-03-2019
429,NOLSM5382025,2,Etching,177.0,1377.0,3640.0,5687.0,71.119,51.595,1.04,20,25,08-03-2019
430,NOLSM5392026,1,Etching,190.0,1465.0,3636.0,5722.0,71.256,51.81100000000001,1.045,20,26,08-03-2019
431,NOLSM5402027,1,Etching,204.0,1388.0,3641.0,5728.0,71.402,51.833999999999996,1.046,20,27,08-03-2019
432,NOLSM1111,1,Etching,251.0,1606.0,3676.0,5756.0,70.878,50.851000000000006,1.047,1,28,17-02-2019
433,NOLSM2122,2,Etching,317.0,1574.0,3657.0,5680.0,69.561,52.283,1.051,1,29,17-02-2019
434,NOLSM3133,3,Etching,411.0,1321.0,3644.0,5715.0,70.968,51.61,1.0170000000000001,1,30,17-02-2019
435,NOLSM4144,1,Etching,256.0,1628.0,3628.0,5737.0,70.146,51.286,1.0270000000000001,1,31,17-02-2019
436,NOLSM5155,2,Etching,419.0,1598.0,3667.0,5720.0,71.17399999999999,51.996,1.05,1,32,17-02-2019
437,NOLSM6166,3,Etching,359.0,1323.0,3644.0,5707.0,71.709,51.931000000000004,1.012,1,33,17-02-2019
438,NOLSM7177,1,Etching,151.0,1389.0,3679.0,5700.0,71.354,51.446000000000005,1.034,1,34,17-02-2019
439,NOLSM8188,2,Etching,316.0,1521.0,3653.0,5737.0,70.76100000000001,51.053000000000004,1.022,1,35,17-02-2019
440,NOLSM9199,3,Etching,294.0,1425.0,3654.0,5717.0,71.71600000000001,51.208999999999996,1.0390000000000001,1,36,17-02-2019
441,NOLSM1011010,1,Etching,466.0,1603.0,3643.0,5703.0,69.94800000000001,50.943999999999996,1.024,1,37,17-02-2019
442,NOLSM1111111,2,Etching,223.0,1393.0,3667.0,5688.0,70.61,51.473,1.048,1,38,17-02-2019
443,NOLSM1211212,3,Etching,562.0,1377.0,3664.0,5730.0,71.067,51.129,1.043,1,39,17-02-2019
444,NOLSM1311313,1,Etching,416.0,1597.0,3655.0,5728.0,69.934,51.099,1.023,1,40,17-02-2019
445,NOLSM1411414,2,Etching,365.0,1484.0,3674.0,5733.0,72.593,50.251999999999995,1.024,1,41,17-02-2019
446,NOLSM1511515,3,Etching,556.0,1619.0,3633.0,5744.0,71.75399999999999,52.645,1.038,1,42,17-02-2019
447,NOLSM1611616,1,Etching,447.0,1490.0,3664.0,5732.0,71.441,51.015,1.0270000000000001,1,43,17-02-2019
448,NOLSM1711717,2,Etching,248.0,1576.0,3662.0,5700.0,71.163,50.547,1.0090000000000001,1,44,17-02-2019
